[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT G3 R4 G3 G4 G2 Y2 B2 B4 B4 R1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G4 R3 1668
SECOND a1+ B2 Y4 0
FIRST b1- G2 Y2 6
SECOND e4- R1 R3 0
FIRST a2- Y2 B3 6
SECOND b5- B4 Y1 0
FIRST b4+ R4 G4 6
SECOND d3- B4 B3 0
FIRST d3+ G4 B4 6
SECOND c2- Y2 Y1 0
FIRST c4- B4 R1 7
SECOND e2- Y1 B3 0
FIRST e4+ R1 Y3 7
SECOND c6- Y4 B1 0
FIRST a3+ G3 B4 7
SECOND d2+ B3 R2 0
FIRST a3- Y3 G2 7
SECOND a5- Y1 R4 0
FIRST b6+ B4 Y1 7
SECOND d4+ B1 G2 0
FIRST a2+ G3 R3 7
SECOND f2- R3 B2 0
FIRST b2- R3 B1 7
SECOND e5+ B2 G3 0
FIRST b1+ B3 G1 7
SECOND c1+ G3 G1 0
FIRST c1- R3 B1 7
SECOND e1+ R2 Y3 0
FIRST f5- G2 B2 7
SECOND b2+ R4 G1 0
FIRST d5- Y1 R1 7
SECOND e6+ Y3 R2 0
FIRST c5+ B1 B3 7
SECOND b3+ G1 Y4 1
FIRST b3- B3 R2 6
SECOND e1- B3 B1 0
FIRST c5- G1 Y4 6
SECOND b5+ Y4 Y3 0
FIRST b6- Y4 R4 6
SECOND c3- G2 R3 0
FIRST a5+ R4 Y3 6
SECOND a4+ R2 G2 0
FIRST d5+ B1 Y1 8
SECOND e2+ G1 G3 0
FIRST c4+ R1 B2 6
SECOND e6- G2 Y2 0
FIRST e5- Y1 R2 5
SECOND d1+ G3 R1 0
FIRST d2- Y3 Y2 5
SECOND a6+ Y3 G4 0
FIRST c2+ B2 Y4 5
SECOND f6- R3 R4 0
FIRST b4- Y4 G1 5
SECOND d6- B1 G4 0
FIRST f4- G1 X0 4
SECOND f4+ G4 X0 0
FIRST d6+ R2 X0 4
SECOND f2+ R4 X0 0
FIRST f5+ Y2 X0 3
SECOND a6- R1 X0 0
FIRST f1- R2 X0 2
SECOND f1+ G4 X0 0
FIRST e3+ B2 X0 2
SECOND f3- Y2 X0 0
FINISH
SCOREFIRST 360
SCORESECOND 98
