[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R4 Y3 G3 G4 G1 R2 R1 B1 Y3 B3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G4 Y2 1533
SECOND e3+ R2 B4 1
FIRST e2+ R4 B1 7
SECOND d1+ B1 B2 0
FIRST e1- B1 R1 7
SECOND b3- B4 G1 0
FIRST e4- Y2 R2 7
SECOND b6+ G1 R1 0
FIRST c6- G1 G2 7
SECOND c1+ R1 B1 0
FIRST e4+ R2 Y1 7
SECOND d2- Y3 Y3 0
FIRST c5+ Y1 B2 7
SECOND a3- B3 G3 0
FIRST a3+ G3 Y4 7
SECOND f4+ B2 Y2 0
FIRST f4- G2 Y1 8
SECOND f2- B1 R4 0
FIRST c5- R1 R2 7
SECOND a6+ R1 R4 0
FIRST b6- Y1 Y2 10
SECOND d5- G3 B3 0
FIRST d4+ B2 R3 9
SECOND b4+ B3 G2 0
FIRST f3- R2 Y3 8
SECOND e5+ R4 R3 0
FIRST f2+ Y2 R4 8
SECOND b1- Y2 Y2 0
FIRST b3+ R4 G4 8
SECOND c4- R3 Y4 0
FIRST a2+ Y3 R3 8
SECOND e6- Y4 B2 0
FIRST e6+ G4 B4 8
SECOND c4+ G2 G1 0
FIRST b2- R3 Y4 8
SECOND b5+ Y2 G4 0
FIRST f6- Y4 R1 7
SECOND f5+ R4 G3 0
FIRST f5- Y4 G2 7
SECOND c2+ G1 R3 0
FIRST e5- G2 B1 7
SECOND a6- G3 G2 0
FIRST d6+ B4 G1 6
SECOND e1+ Y3 Y4 0
FIRST c2- R1 B2 6
SECOND b4- G4 G4 0
FIRST d5+ B2 B3 6
SECOND b5- R3 B4 0
FIRST a5+ Y3 B4 5
SECOND c3- G4 Y1 0
FIRST a5- B3 B3 5
SECOND b2+ B4 R2 0
FIRST a4+ R3 G3 5
SECOND d3- R2 Y1 0
FIRST e2- B4 X0 4
SECOND a1+ B2 X0 0
FIRST b1+ B3 X0 4
SECOND f1- Y1 X0 0
FIRST f1+ G1 X0 3
SECOND d6- Y1 X0 0
FIRST a2- G3 X0 3
SECOND d3+ Y4 X0 0
FIRST c1- B1 X0 3
SECOND d2+ G2 X0 0
FINISH
SCOREFIRST 354
SCORESECOND 82
