[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT G3 B2 B1 G1 B2 G1 G4 G2 R4 R3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G1 Y2 1653
SECOND e4+ R3 G4 1
FIRST e2+ B1 G4 11
SECOND a6- G4 Y3 0
FIRST a5+ G4 Y3 12
SECOND b1+ G1 B2 1
FIRST f4- Y3 B4 7
SECOND c4- G4 G1 0
FIRST b5- B4 G4 10
SECOND a4+ G1 B4 0
FIRST b4+ G4 G2 9
SECOND f6- B4 R2 0
FIRST f4+ G3 R2 7
SECOND f5+ R2 B1 0
FIRST f5- B2 Y1 7
SECOND e1+ Y3 B1 0
FIRST e5+ B2 R3 7
SECOND a3- B2 Y2 0
FIRST a3+ G2 B1 7
SECOND a2- B1 Y2 0
FIRST b1- Y1 Y2 7
SECOND e4- G2 R1 0
FIRST a1+ B1 R1 7
SECOND d2+ R1 B3 0
FIRST e2- R1 R3 7
SECOND c6- Y2 Y4 0
FIRST e3+ Y2 Y1 7
SECOND c1+ Y2 R4 0
FIRST a2+ R2 B4 7
SECOND c3- B1 B3 0
FIRST d3+ Y1 R4 7
SECOND c5+ R4 G3 0
FIRST a5- B4 G1 7
SECOND c4+ G3 Y4 0
FIRST d3- G1 Y4 6
SECOND d1+ R4 G3 0
FIRST a6+ R4 R1 6
SECOND d4+ Y4 Y1 0
FIRST b4- Y4 Y3 6
SECOND b3- G3 B4 0
FIRST f2- R1 G3 6
SECOND b2+ B3 B2 0
FIRST e1- G3 B3 6
SECOND c1- B4 R1 0
FIRST b3+ B3 B3 8
SECOND b5+ Y4 R3 0
FIRST b2- Y3 Y4 5
SECOND e5- B2 R2 0
FIRST c5- Y4 R4 5
SECOND f1- R3 G2 0
FIRST d5- R4 G2 5
SECOND d2- R2 Y3 0
FIRST f1+ B3 R2 5
SECOND c2+ Y3 Y1 0
FIRST c2- R3 X0 4
SECOND e6- Y1 X0 0
FIRST f3- G2 X0 3
SECOND d6+ B3 X0 0
FIRST f2+ R2 X0 3
SECOND d5+ R1 X0 0
FIRST b6+ Y2 X0 3
SECOND d6- G2 X0 0
FIRST b6- R3 X0 2
SECOND e6+ Y1 X0 0
FINISH
SCOREFIRST 356
SCORESECOND 112
