[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT Y2 B1 R2 G1 R2 G1 B2 R2 Y2 B4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G1 Y4 1810
SECOND d5- Y2 G1 0
FIRST c5+ Y2 R1 8
SECOND f5+ R2 B1 0
FIRST e2+ B1 B4 7
SECOND a3- G1 G2 0
FIRST d3+ R1 B3 8
SECOND d4+ G1 R1 0
FIRST c6- R2 G2 8
SECOND b4+ R1 Y4 0
FIRST f6- G2 G3 8
SECOND d2- B1 G4 0
FIRST f5- R2 G4 8
SECOND b1- G4 Y4 0
FIRST a1+ B4 Y1 8
SECOND b3- Y4 Y2 0
FIRST d3- Y1 R1 9
SECOND f4+ Y4 R3 0
FIRST d2+ R1 Y4 10
SECOND f2+ B4 G2 0
FIRST a3+ Y4 B2 9
SECOND a6- R3 B1 0
FIRST f3- G4 Y1 9
SECOND c1- G2 B2 0
FIRST e2- Y1 B4 9
SECOND a2- B2 Y3 0
FIRST b3+ B4 B2 9
SECOND b5- G2 R3 0
FIRST e6+ B2 R4 9
SECOND e5- Y3 R1 0
FIRST e5+ B2 B1 10
SECOND b4- R1 Y1 0
FIRST e1+ B1 G4 9
SECOND b1+ R3 R4 0
FIRST e4+ B3 R3 8
SECOND c2- B2 G4 0
FIRST f2- Y4 B3 8
SECOND d6+ G4 Y1 0
FIRST b2+ R4 G1 8
SECOND b2- Y1 G3 0
FIRST c2+ G1 Y3 7
SECOND e3+ Y2 Y3 0
FIRST c3- G4 R4 7
SECOND e6- B1 G3 0
FIRST f1+ R4 Y2 7
SECOND e4- R4 B3 0
FIRST c1+ Y2 R3 7
SECOND d6- Y1 B4 0
FIRST d5+ G3 G3 6
SECOND a2+ G3 B3 0
FIRST f4- B3 Y3 6
SECOND a5- B3 R2 0
FIRST a5+ R3 G2 5
SECOND a4+ Y3 R4 0
FIRST a6+ G3 X0 5
SECOND c5- R4 X0 0
FIRST b6- R3 X0 4
SECOND f1- R2 X0 0
FIRST b6+ Y3 X0 4
SECOND e1- B4 X0 0
FIRST b5+ Y3 X0 3
SECOND d1+ G3 X0 0
FIRST c4+ G2 X0 3
SECOND c4- B3 X0 0
FINISH
SCOREFIRST 272
SCORESECOND 92
