[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B3 G4 G2 R4 G3 G4 R4 R1 G2 B2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R4 Y2 1654
SECOND d6- G4 Y4 1
FIRST d5+ G4 R4 12
SECOND a3- B2 R3 1
FIRST a3+ G2 R2 13
SECOND e6- R1 B1 1
FIRST d3+ R4 R3 13
SECOND f3- G2 Y2 0
FIRST f2+ Y2 R2 8
SECOND a6+ R4 G3 0
FIRST a2+ R2 G2 7
SECOND e4- Y4 Y2 0
FIRST b2- R2 B1 7
SECOND b2+ B1 Y1 0
FIRST f2- G2 Y4 7
SECOND d3- Y2 G3 0
FIRST e3+ Y4 B1 7
SECOND f5- R3 R2 0
FIRST e6+ B1 B2 7
SECOND b5+ Y2 B3 0
FIRST a2- B2 Y1 7
SECOND f4+ G3 Y1 0
FIRST f6- Y1 R1 7
SECOND f1+ Y1 G2 0
FIRST e5+ B3 B4 7
SECOND e1- G2 B4 0
FIRST d6+ B1 B2 7
SECOND b3+ R2 B1 0
FIRST b3- B2 Y2 6
SECOND b1- B4 G1 0
FIRST a1+ Y2 Y3 7
SECOND c3- G1 Y4 0
FIRST d4+ B4 G1 6
SECOND d5- B1 G4 0
FIRST f5+ G1 G3 7
SECOND c4+ G4 R3 0
FIRST c2- R1 Y3 6
SECOND a6- R3 B4 0
FIRST f4- R3 Y1 6
SECOND c5- B4 B3 0
FIRST c2+ Y1 G1 6
SECOND c6- B3 Y3 0
FIRST e4+ Y3 R3 6
SECOND f1- Y4 B2 0
FIRST e5- G3 Y4 6
SECOND d2+ Y1 R1 0
FIRST d2- G1 B4 5
SECOND b5- R1 R2 0
FIRST e2+ Y4 R1 6
SECOND a4+ B3 G1 0
FIRST e2- B4 B3 5
SECOND c4- B2 Y3 0
FIRST d1+ R1 G4 4
SECOND c5+ G3 R4 0
FIRST e1+ G4 X0 5
SECOND b4+ R2 X0 0
FIRST b6+ B3 X0 3
SECOND c1- Y3 X0 0
FIRST b6- G3 X0 3
SECOND b1+ R4 X0 0
FIRST a5- R3 X0 2
SECOND a5+ Y3 X0 0
FIRST b4- Y3 X0 2
SECOND c1+ G1 X0 0
FINISH
SCOREFIRST 344
SCORESECOND 100
