[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B4 G2 G3 G1 Y4 G1 G4 G2 Y4 R4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G1 B4 4177
SECOND c2- G4 Y1 0
FIRST b2+ B4 B3 8
SECOND c2+ G1 Y1 0
FIRST b2- B4 R4 7
SECOND f4+ Y4 B1 0
FIRST c1+ Y4 R1 7
SECOND d6+ G2 G3 0
FIRST a2+ R4 Y2 8
SECOND c4+ G3 Y3 0
FIRST d6- Y2 R2 8
SECOND c3- R4 R3 0
FIRST c4- B3 G1 8
SECOND f1- Y3 R2 0
FIRST b4+ G3 Y4 8
SECOND e2- R3 R2 0
FIRST a2- Y4 R3 8
SECOND a1+ Y1 G1 0
FIRST e1+ R3 G3 8
SECOND d5+ B1 Y3 0
FIRST e1- G3 B1 8
SECOND d2- Y1 R1 0
FIRST d1+ R1 Y1 8
SECOND e4+ R2 B2 0
FIRST d2+ G1 Y1 8
SECOND e5- B2 Y2 0
FIRST e5+ G2 Y3 8
SECOND c1- Y2 B3 0
FIRST e6- R2 B3 8
SECOND f4- Y3 Y4 0
FIRST b5- B3 G2 8
SECOND a6+ G1 G3 0
FIRST d3- B1 R4 8
SECOND b3- R1 B3 0
FIRST d3+ Y1 G4 8
SECOND b6+ R2 B2 0
FIRST e2+ Y1 B1 8
SECOND f6- B3 R1 0
FIRST e3+ B1 R1 8
SECOND b1- Y4 G4 0
FIRST b1+ G4 B2 7
SECOND f2- G3 B1 0
FIRST f1+ Y3 G4 7
SECOND a3- B3 Y2 0
FIRST f3- R1 Y3 7
SECOND a6- B1 R3 0
FIRST e4- G2 Y2 7
SECOND c6- R1 G2 0
FIRST d4+ B2 R3 6
SECOND a5- G2 B4 0
FIRST f2+ Y3 B2 6
SECOND a4+ B4 R4 0
FIRST d5- Y2 R2 6
SECOND b3+ G4 B4 0
FIRST c5+ B2 X0 6
SECOND b4- B2 X0 0
FIRST c5- R2 X0 5
SECOND b5+ R4 X0 0
FIRST a5+ R3 X0 4
SECOND e6+ B4 X0 0
FIRST b6- G4 X0 4
SECOND f5- Y2 X0 0
FIRST a3+ R4 X0 3
SECOND f5+ R3 X0 0
FINISH
SCOREFIRST 412
SCORESECOND 100
