[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT G1 B4 R2 R4 R4 Y2 B3 B4 G1 B2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R4 R3 1873
SECOND c2+ B3 G3 0
FIRST d3+ R4 G3 7
SECOND d5- B2 R4 0
FIRST c2- G3 B1 8
SECOND e2+ Y2 R4 0
FIRST e2- R2 B2 8
SECOND a3- G3 G4 0
FIRST a3+ R3 G4 8
SECOND b4- B4 G4 0
FIRST b3+ G4 B3 8
SECOND d2- R4 B1 0
FIRST b4+ B4 R1 8
SECOND d6+ G4 G3 0
FIRST d2+ B2 R1 8
SECOND c6- G3 G1 0
FIRST c1+ B3 Y3 8
SECOND b6+ R4 Y3 0
FIRST c5+ Y3 B1 8
SECOND f5+ G1 R2 0
FIRST f6- B1 R2 8
SECOND d6- B1 R3 0
FIRST f5- R1 B3 9
SECOND e4+ R3 Y3 0
FIRST e5+ R1 B2 9
SECOND b1- Y3 B1 0
FIRST c5- B3 Y3 8
SECOND f1+ B1 Y1 0
FIRST e5- G1 Y4 8
SECOND a6- Y1 B4 0
FIRST d5+ B1 Y4 8
SECOND d4+ Y3 B2 0
FIRST e4- Y3 B4 8
SECOND a1+ G4 R3 0
FIRST b5- B4 G2 8
SECOND f2- G1 G2 0
FIRST c4- Y4 G4 8
SECOND a5+ B2 Y1 0
FIRST a4+ Y4 G3 8
SECOND f1- B4 B3 0
FIRST a5- G4 Y2 7
SECOND e3+ Y1 R1 0
FIRST e1+ G2 G2 7
SECOND f4+ B3 R1 0
FIRST f4- G3 Y1 8
SECOND c1- R3 G2 0
FIRST e6- Y1 Y1 8
SECOND f2+ R1 R2 0
FIRST e6+ Y1 G1 7
SECOND d1+ G2 Y4 0
FIRST e1- R2 Y2 6
SECOND a2- R2 Y2 0
FIRST f3- G1 R3 9
SECOND c3- R2 Y4 1
FIRST b1+ R3 X0 6
SECOND c4+ Y2 X0 0
FIRST d3- G2 X0 4
SECOND b2+ Y4 X0 0
FIRST a2+ B2 X0 4
SECOND b3- G2 X0 0
FIRST b2- Y2 X0 4
SECOND b5+ R1 X0 0
FIRST a6+ Y2 X0 3
SECOND b6- Y4 X0 0
FINISH
SCOREFIRST 308
SCORESECOND 110
