[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B4 B1 Y3 R4 Y4 Y1 R2 G3 Y3 G4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R4 B2 1899
SECOND e5+ R2 Y2 0
FIRST e2+ B4 R2 8
SECOND b3+ G4 G4 0
FIRST e3+ Y4 B3 8
SECOND c2+ Y3 R2 0
FIRST d2- Y3 G2 8
SECOND e4+ R2 G2 0
FIRST e5- B2 R4 8
SECOND b3- G4 R4 0
FIRST c2- B3 G3 9
SECOND e6+ G3 G3 0
FIRST d5+ R2 B1 10
SECOND a6- R4 Y2 0
FIRST a3+ R4 B2 9
SECOND d5- G2 B4 0
FIRST d2+ G3 Y1 9
SECOND d6- Y2 B2 0
FIRST e6- G2 R2 8
SECOND b6- B2 R1 0
FIRST d6+ B2 B3 9
SECOND a1+ Y1 Y4 0
FIRST c5+ R2 G2 9
SECOND c1- B4 B1 0
FIRST c6- G2 B4 9
SECOND b5- G3 Y1 0
FIRST c3- B3 R3 8
SECOND e2- R1 Y3 0
FIRST b2+ R3 G1 8
SECOND c4+ Y4 B2 0
FIRST c5- B4 G3 8
SECOND b1- B1 B1 0
FIRST b2- G3 R1 8
SECOND f5- B1 R1 0
FIRST f4+ G1 Y2 11
SECOND a3- Y3 R3 0
FIRST b6+ Y2 Y3 8
SECOND b4+ Y1 R3 0
FIRST a2+ Y3 Y4 8
SECOND f5+ R1 R4 0
FIRST f4- B1 G4 8
SECOND c1+ Y2 B3 0
FIRST f6- B1 Y2 7
SECOND f2- B3 G1 0
FIRST a6+ Y2 R1 6
SECOND f1+ G1 G1 0
FIRST d3+ Y4 G4 6
SECOND d4+ B2 G2 0
FIRST c4- G4 Y1 6
SECOND f2+ R4 Y4 0
FIRST f3- G4 G1 5
SECOND e1- G1 B3 0
FIRST e1+ R1 R3 5
SECOND a4+ R3 B4 0
FIRST f1- Y1 X0 5
SECOND a5- B3 X0 0
FIRST a2- R3 X0 5
SECOND e4- R3 X0 0
FIRST d1+ Y1 X0 4
SECOND a5+ Y4 X0 0
FIRST b1+ R1 X0 4
SECOND d3- B4 X0 0
FIRST b4- G1 X0 3
SECOND b5+ G2 X0 0
FINISH
SCOREFIRST 480
SCORESECOND 88
