[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R4 G1 B1 Y1 G4 Y3 Y1 G3 G1 R2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y1 B2 1666
SECOND c4+ G1 G3 1
FIRST c5- G1 R2 13
SECOND a6- G3 B2 1
FIRST e3+ B1 R4 8
SECOND f5+ B2 B4 1
FIRST f6- R2 B3 8
SECOND e1+ R2 Y3 0
FIRST e2- B2 R1 6
SECOND a5+ Y3 R1 0
FIRST c5+ R1 B1 7
SECOND c6- Y1 Y4 0
FIRST c4- B1 Y3 7
SECOND e5+ Y3 G2 0
FIRST b5- Y3 G2 7
SECOND b6- B4 R4 0
FIRST f1- G2 G2 7
SECOND d2+ Y4 B3 0
FIRST b5+ R4 G3 7
SECOND c3- G3 G4 0
FIRST a5- B3 G4 7
SECOND b2+ G4 R3 0
FIRST a4+ G3 Y4 7
SECOND d6+ G2 B1 0
FIRST e1- G2 Y4 7
SECOND a6+ R4 Y2 0
FIRST b6+ R4 Y2 7
SECOND a3- B3 B2 0
FIRST d1+ Y2 Y1 6
SECOND f2- R3 R4 0
FIRST d5- Y1 G3 8
SECOND a1+ B2 G4 0
FIRST b4+ G3 B4 7
SECOND f1+ G4 G1 0
FIRST d2- G4 Y3 6
SECOND c1- Y2 G2 0
FIRST b4- Y3 G1 6
SECOND a2+ B1 R1 0
FIRST d4+ G1 B4 6
SECOND f2+ R1 Y1 1
FIRST c2- Y4 R1 6
SECOND d3+ G1 R2 0
FIRST e4- R1 R2 6
SECOND e6+ G2 B4 0
FIRST c2+ B4 B2 5
SECOND f5- B4 Y4 0
FIRST e6- R2 R3 6
SECOND d5+ R1 B1 0
FIRST b3+ R3 R3 5
SECOND e4+ B1 Y2 0
FIRST b3- R3 B3 5
SECOND f3- R4 R3 0
FIRST a3+ B3 Y2 4
SECOND f4- Y2 B3 0
FIRST c1+ G4 X0 4
SECOND b2- Y1 X0 0
FIRST d3- B4 X0 3
SECOND d6- B3 X0 0
FIRST e2+ B2 X0 3
SECOND f4+ R3 X0 0
FIRST a2- Y2 X0 2
SECOND b1- R2 X0 0
FIRST b1+ Y4 X0 2
SECOND e5- Y4 X0 0
FINISH
SCOREFIRST 464
SCORESECOND 96
