[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B2 G2 G3 Y1 R3 R3 G3 Y4 B3 G4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y1 Y3 1653
SECOND e5- G3 B2 1
FIRST e4+ R3 B4 7
SECOND f1+ B3 R1 1
FIRST e5+ G3 B4 6
SECOND d2- R1 G2 0
FIRST d5+ Y3 G1 6
SECOND a5+ Y4 Y3 0
FIRST b5- B4 B3 6
SECOND b1+ R3 B4 0
FIRST d6- B3 R1 6
SECOND b6- G2 G2 0
FIRST b6+ G2 G3 7
SECOND d4+ G4 Y1 0
FIRST d6+ G3 R2 7
SECOND c4- B2 Y3 0
FIRST a6+ B2 B1 7
SECOND b4- B4 R2 0
FIRST a6- R2 R1 7
SECOND f6- Y1 B3 0
FIRST a5- B4 B1 7
SECOND c1- Y3 Y2 0
FIRST d2+ B1 B2 6
SECOND e4- R2 R3 0
FIRST e2- R1 G1 7
SECOND a3- B3 B2 0
FIRST e2+ G1 Y2 7
SECOND a1+ Y3 Y2 0
FIRST e3+ R1 R4 6
SECOND a3+ Y2 G3 0
FIRST b4+ R4 R4 6
SECOND d3- B2 G1 0
FIRST a4+ R4 G4 6
SECOND b1- G1 B1 0
FIRST b3+ G4 B3 6
SECOND c1+ G2 R1 0
FIRST e6- B3 G2 6
SECOND f2- Y2 R2 0
FIRST c2+ B1 R3 6
SECOND b5+ R2 G4 0
FIRST d1+ G1 Y4 6
SECOND c5- R1 B4 0
FIRST d5- R3 Y4 6
SECOND c5+ B1 Y1 0
FIRST c3- Y4 Y1 6
SECOND c6- R3 Y4 0
FIRST c2- Y1 R2 5
SECOND a2- Y1 R4 0
FIRST b3- Y4 Y2 5
SECOND c4+ Y4 R4 0
FIRST f2+ G2 G4 5
SECOND b2+ R4 G1 0
FIRST b2- G4 Y3 5
SECOND e6+ R4 B1 0
FIRST f4- Y3 X0 4
SECOND f5- G3 X0 0
FIRST f3- B2 X0 3
SECOND e1- G1 X0 0
FIRST d3+ Y2 X0 3
SECOND f1- G4 X0 0
FIRST a2+ R2 X0 3
SECOND f4+ B4 X0 0
FIRST e1+ Y2 X0 2
SECOND f5+ B1 X0 0
FINISH
SCOREFIRST 388
SCORESECOND 90
