[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT G1 Y2 G2 Y3 B4 G3 G4 Y1 Y4 Y1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y3 R4 1588
SECOND a1+ Y4 B2 0
FIRST a2- R4 R1 6
SECOND d2+ B2 R1 0
FIRST d2- Y2 B1 7
SECOND c4+ R1 Y4 0
FIRST c5- R1 R3 6
SECOND d3+ Y4 R1 0
FIRST c5+ G1 Y2 7
SECOND e3+ Y1 Y3 0
FIRST d1+ G2 Y1 7
SECOND f4+ G4 R3 0
FIRST a2+ B4 R2 8
SECOND b1- G3 Y2 0
FIRST e1- R2 R3 8
SECOND f2- R3 G2 0
FIRST e2+ R3 G3 8
SECOND f4- G2 R2 0
FIRST c6- B1 G3 8
SECOND f6- R2 B4 0
FIRST e1+ Y2 Y4 7
SECOND f3- Y2 B1 0
FIRST f2+ G3 B3 7
SECOND c1+ B1 G2 0
FIRST b6+ Y1 B1 7
SECOND a5+ Y3 G3 0
FIRST f1+ B3 B4 7
SECOND a4+ R1 B3 0
FIRST b6- B1 B3 8
SECOND b3+ G2 G1 0
FIRST f1- R3 G4 8
SECOND b2- Y1 R4 0
FIRST e2- G3 G4 7
SECOND f5+ R4 G4 0
FIRST f5- Y4 B2 7
SECOND d3- G1 B1 0
FIRST c2+ B2 G1 7
SECOND a3- G3 R3 0
FIRST b5+ G1 R4 7
SECOND c4- B3 B4 0
FIRST a5- B3 Y3 6
SECOND d5- B1 R4 0
FIRST b5- Y3 R2 6
SECOND b1+ R3 R2 0
FIRST c3- R2 Y1 6
SECOND a6- R2 G1 0
FIRST a6+ Y1 R1 5
SECOND b4- R4 B2 0
FIRST d4+ R1 G2 5
SECOND e5- B4 Y2 0
FIRST e5+ B4 B2 5
SECOND e6- G4 Y3 0
FIRST c2- G2 Y4 5
SECOND e6+ Y3 B3 0
FIRST b2+ B2 X0 4
SECOND a3+ B2 X0 0
FIRST e4+ Y4 X0 3
SECOND d6- G1 X0 0
FIRST d5+ G4 X0 3
SECOND d6+ Y2 X0 0
FIRST e4- G4 X0 3
SECOND c1- B3 X0 0
FIRST b4+ R4 X0 2
SECOND b3- B4 X0 0
FINISH
SCOREFIRST 378
SCORESECOND 104
