[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B4 Y2 B1 G3 R1 B3 G3 G2 B4 Y2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G3 B2 1625
SECOND c6- B3 R4 0
FIRST a3+ Y2 Y1 7
SECOND e1- G2 B1 0
FIRST a3- B2 R2 6
SECOND d2+ Y2 G4 0
FIRST a2+ R2 G1 7
SECOND a1+ B1 G1 0
FIRST b1- R1 B2 7
SECOND b6- R4 Y4 0
FIRST a6+ B4 B3 7
SECOND f2- G3 Y3 0
FIRST e2+ B3 R3 7
SECOND c3- G1 R3 0
FIRST b2- B2 B4 7
SECOND d3+ Y4 Y4 0
FIRST b3+ Y1 Y4 7
SECOND c1+ R3 Y2 0
FIRST f2+ R3 R4 7
SECOND d3- Y2 Y1 0
FIRST b5+ B4 R4 7
SECOND e5+ Y1 B2 0
FIRST b6+ R4 G2 7
SECOND b2+ Y4 R1 1
FIRST b5- R4 B1 7
SECOND f1+ G4 Y1 0
FIRST a5+ Y4 Y3 7
SECOND f4- B2 R3 0
FIRST e2- G2 R1 7
SECOND d5+ R3 R2 0
FIRST c2+ B1 B3 7
SECOND e6- R2 B4 0
FIRST d2- G1 G1 7
SECOND e6+ B4 B1 0
FIRST d1+ B1 Y1 7
SECOND c5+ Y3 R4 0
FIRST d5- Y3 G3 6
SECOND c4+ B4 G1 1
FIRST b3- R1 G4 6
SECOND e4- Y1 R1 0
FIRST c5- G4 Y4 6
SECOND e3+ R1 Y3 0
FIRST a6- Y4 G2 6
SECOND b4- R4 R2 0
FIRST e1+ G2 R3 6
SECOND e5- R1 B3 0
FIRST e4+ Y1 Y3 5
SECOND c1- R2 G3 0
FIRST c2- G1 G4 6
SECOND a4+ B3 G2 0
FIRST b4+ G4 Y2 5
SECOND c4- G1 B2 0
FIRST b1+ Y2 R2 5
SECOND a2- G2 G4 0
FIRST f1- R2 X0 4
SECOND d6- B1 X0 0
FIRST d4+ B3 X0 4
SECOND f3- G3 X0 0
FIRST a5- R3 X0 3
SECOND d6+ G4 X0 0
FIRST f6- Y3 X0 3
SECOND f4+ Y3 X0 0
FIRST f5- G3 X0 3
SECOND f5+ B2 X0 0
FINISH
SCOREFIRST 354
SCORESECOND 92
