[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT Y1 Y2 G1 Y2 R1 R4 Y1 G2 B2 R1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y2 B3 1659
SECOND d6- G2 B3 2
FIRST d6+ Y2 G3 7
SECOND a1+ R1 Y3 1
FIRST b1- R1 G4 6
SECOND c5- Y1 Y4 0
FIRST c5+ Y1 B4 6
SECOND b4+ R4 R3 1
FIRST b5- G4 R3 8
SECOND b3+ B2 Y1 1
FIRST c6- G1 B3 8
SECOND f5- B3 B1 0
FIRST f4+ R3 R2 7
SECOND e2+ Y1 Y2 1
FIRST c4- B4 G2 8
SECOND c1- Y3 G2 1
FIRST b1+ G3 G3 7
SECOND f2+ B1 Y4 0
FIRST f4- B3 R1 7
SECOND e5+ Y4 G4 0
FIRST f2- R1 Y4 7
SECOND d5+ G2 G1 0
FIRST b2- G3 R4 7
SECOND e1+ Y4 B4 0
FIRST b2+ B3 Y1 7
SECOND c2- G4 G1 0
FIRST d5- R2 B1 7
SECOND b3- Y2 R4 0
FIRST a3+ G2 B4 7
SECOND e5- G1 B1 0
FIRST e1- B4 G4 7
SECOND c2+ B1 R2 0
FIRST d1+ R4 R3 7
SECOND e4- G1 G4 0
FIRST e4+ B1 B2 7
SECOND b6- G4 B4 0
FIRST b5+ G4 R2 6
SECOND f1+ B4 B3 0
FIRST f1- Y4 B2 6
SECOND a4+ R2 Y2 0
FIRST b4- B2 R4 6
SECOND c3- Y2 R2 0
FIRST a3- B2 Y3 6
SECOND e3+ R3 R3 0
FIRST a2+ R2 G1 6
SECOND b6+ R3 G3 0
FIRST a5+ R4 Y4 5
SECOND c4+ R2 Y3 0
FIRST a5- Y4 Y3 6
SECOND d3- Y3 R1 0
FIRST c1+ R3 G2 5
SECOND d2- B3 B2 0
FIRST a2- G2 B1 5
SECOND d2+ G3 G3 0
FIRST d4+ Y1 X0 4
SECOND f3- B4 X0 0
FIRST e2- B1 X0 3
SECOND a6+ R4 X0 0
FIRST f5+ Y3 X0 3
SECOND e6+ G3 X0 0
FIRST f6- Y3 X0 2
SECOND e6- B2 X0 0
FIRST d3+ G1 X0 2
SECOND a6- R1 X0 0
FINISH
SCOREFIRST 320
SCORESECOND 102
