[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R4 R2 G4 G4 G3 R1 Y1 B2 R2 B4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G4 B1 1672
SECOND e3+ B2 Y4 1
FIRST e2+ R4 B2 6
SECOND b5- Y1 G1 1
FIRST f2- G4 Y1 8
SECOND a6- R1 G4 0
FIRST a5+ Y1 R4 6
SECOND b3+ G1 B1 1
FIRST b4+ B1 Y4 7
SECOND a5- Y4 G1 1
FIRST f1+ R4 G2 7
SECOND c1- B4 R4 1
FIRST d3+ Y4 B4 8
SECOND f5+ R2 G2 0
FIRST d3- B4 B3 7
SECOND f4+ B1 G4 0
FIRST f6- G2 R2 7
SECOND d4+ G4 Y4 0
FIRST f3- B2 R1 7
SECOND d2+ G4 R1 1
FIRST b4- R1 B4 7
SECOND c6- R1 Y3 0
FIRST e2- B4 B1 7
SECOND c4- G1 Y3 0
FIRST a4+ B1 Y3 7
SECOND a3- R4 Y2 0
FIRST f2+ R2 G1 7
SECOND a2+ Y4 B3 0
FIRST c4+ G1 G3 7
SECOND c1+ Y3 Y1 0
FIRST e6+ R2 Y4 7
SECOND f1- B3 B4 0
FIRST d2- Y4 R1 7
SECOND c2+ Y3 G2 0
FIRST b3- R1 Y1 7
SECOND b1- Y1 R3 0
FIRST a3+ Y1 R3 7
SECOND f5- R3 R3 0
FIRST c2- G3 B2 6
SECOND a6+ G2 R4 0
FIRST e5+ G3 G2 6
SECOND b1+ R4 G3 0
FIRST c3- Y3 Y3 6
SECOND e5- G3 B3 0
FIRST d5+ B3 G1 6
SECOND a1+ G2 B1 0
FIRST b5+ G1 Y2 5
SECOND b2+ Y2 G3 0
FIRST e4+ Y3 Y2 5
SECOND d6- R3 R2 0
FIRST d5- R3 B3 5
SECOND e4- B1 B2 0
FIRST c5+ B3 R3 4
SECOND e6- B2 Y2 0
FIRST c5- R3 X0 4
SECOND f4- G3 X0 0
FIRST d6+ Y2 X0 4
SECOND a2- Y2 X0 0
FIRST b2- B2 X0 3
SECOND e1+ B3 X0 0
FIRST b6- Y2 X0 3
SECOND b6+ R2 X0 0
FIRST d1+ G2 X0 2
SECOND e1- B4 X0 0
FINISH
SCOREFIRST 412
SCORESECOND 104
