[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT Y1 Y4 B3 R3 Y2 B4 R1 B4 R4 Y3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R3 Y4 1695
SECOND f3- R1 G1 0
FIRST f2+ Y1 Y3 6
SECOND e1+ B4 B1 0
FIRST e2- Y4 R4 6
SECOND f1- B1 G4 0
FIRST e2+ Y4 Y2 7
SECOND a2- G1 R3 0
FIRST d3+ B3 R4 7
SECOND e5- B4 B3 0
FIRST e1- R4 B4 7
SECOND c6- Y3 Y1 0
FIRST d2+ R4 G4 7
SECOND b2+ R3 G2 0
FIRST d1+ B4 R1 7
SECOND f5+ G2 G2 0
FIRST d2- G4 R2 7
SECOND c5+ G4 R2 0
FIRST f1+ R1 G2 7
SECOND c2+ Y1 G3 0
FIRST f6- R2 G1 7
SECOND a5- G2 G1 0
FIRST f2- G1 Y3 7
SECOND f4+ R4 B2 0
FIRST e6+ G2 B1 7
SECOND d5- B2 R2 0
FIRST e3+ B1 B3 7
SECOND c4- R2 R4 0
FIRST d5+ Y2 B1 6
SECOND e4+ B3 Y4 0
FIRST b4+ Y2 B2 7
SECOND c1+ Y4 Y3 0
FIRST e6- B2 B2 6
SECOND b6+ R4 Y1 0
FIRST b5- B2 Y1 7
SECOND c3- G3 B3 0
FIRST e4- Y1 G3 6
SECOND b1- G1 G4 0
FIRST d4+ B1 R2 6
SECOND a6- Y1 B2 0
FIRST a5+ R2 B4 6
SECOND a2+ R2 Y2 0
FIRST d3- B4 G4 6
SECOND c2- G4 Y4 0
FIRST b2- G3 G2 6
SECOND d6- B2 B1 0
FIRST d6+ G2 R3 5
SECOND c5- Y3 R1 0
FIRST b1+ Y3 G1 5
SECOND a3+ B3 G3 0
FIRST b3- Y3 R1 5
SECOND b6- Y4 Y2 0
FIRST b3+ R3 G3 5
SECOND c1- R1 R3 0
FIRST b4- B3 X0 4
SECOND a3- Y2 X0 0
FIRST a4+ G3 X0 4
SECOND a1+ B1 X0 0
FIRST a6+ G4 X0 3
SECOND e5+ Y2 X0 0
FIRST f4- R1 X0 3
SECOND b5+ G3 X0 0
FIRST f5- G1 X0 2
SECOND c4+ R3 X0 0
FINISH
SCOREFIRST 364
SCORESECOND 82
