[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R2 B1 R1 Y1 R2 B1 Y1 Y2 B1 R4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y1 Y2 1638
SECOND a5- B1 B3 1
FIRST e3+ R1 B3 7
SECOND e4- B1 G3 0
FIRST d3+ B1 B4 6
SECOND c4+ G3 R1 0
FIRST c5- B3 R3 7
SECOND e6+ Y2 Y3 0
FIRST f6- R2 G3 7
SECOND f4- Y3 R4 0
FIRST e4+ R3 B1 7
SECOND c1+ Y1 Y1 0
FIRST f4+ G3 B3 7
SECOND f5+ B3 G1 0
FIRST f5- B3 R1 8
SECOND c5+ Y1 G1 0
FIRST e2+ B1 B4 7
SECOND a2- R4 B2 0
FIRST d3- R1 G4 7
SECOND b5- B2 R2 0
FIRST b4+ Y2 Y1 7
SECOND d2- R1 G2 0
FIRST d2+ Y1 R3 7
SECOND a2+ G1 G4 0
FIRST e5+ R3 G3 7
SECOND d1+ R4 Y4 0
FIRST e5- G3 G2 7
SECOND b5+ Y4 B2 0
FIRST c4- G2 G1 7
SECOND b6- B2 G4 0
FIRST e2- G1 R4 7
SECOND e1+ G1 B4 0
FIRST a6+ R2 G2 7
SECOND c3- R2 R3 0
FIRST b3+ G2 G1 7
SECOND a4+ G4 R1 0
FIRST c2+ G1 G4 7
SECOND c6- R3 Y3 0
FIRST b4- B4 Y3 6
SECOND f3- R1 Y4 0
FIRST d5+ Y3 R4 6
SECOND c2- G4 B3 0
FIRST b2+ B4 Y2 6
SECOND e1- Y4 R2 0
FIRST a1+ G4 Y4 7
SECOND d6+ B4 B4 0
FIRST a5+ Y2 Y3 6
SECOND e6- B3 G3 0
FIRST d6- Y3 B2 5
SECOND f2- Y3 R3 0
FIRST a6- B2 Y4 5
SECOND b2- G3 Y2 0
FIRST b1- R4 B2 5
SECOND c1- B4 G2 0
FIRST b1+ Y4 X0 4
SECOND a3- R2 X0 0
FIRST b6+ B2 X0 4
SECOND a3+ R3 X0 0
FIRST b3- Y4 X0 3
SECOND f1+ G2 X0 0
FIRST f2+ R4 X0 3
SECOND d4+ Y2 X0 0
FIRST d5- G4 X0 2
SECOND f1- G2 X0 0
FINISH
SCOREFIRST 380
SCORESECOND 100
