[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R1 B1 B3 B4 G3 B2 Y1 G2 Y3 B1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B4 R3 1771
SECOND f2- B1 Y2 0
FIRST f2+ R1 R4 8
SECOND e1- Y2 G1 0
FIRST f3- B1 B4 7
SECOND b4- Y1 B2 1
FIRST d3+ R4 B3 8
SECOND b2+ Y3 R2 0
FIRST b3- B3 R1 8
SECOND c1+ G2 Y1 0
FIRST b3+ R1 Y2 8
SECOND c1- B2 R1 0
FIRST a3+ R3 G2 8
SECOND d1+ G1 R2 0
FIRST c2- B3 B1 7
SECOND e5+ B2 Y3 0
FIRST a3- G3 Y3 7
SECOND b6+ R2 B1 0
FIRST a2+ Y3 B2 7
SECOND c2+ Y1 R4 0
FIRST c3- B1 Y3 7
SECOND d5+ Y3 Y4 0
FIRST b2- Y3 G4 8
SECOND b4+ B1 G3 0
FIRST c6- Y2 R3 7
SECOND b5- R4 G4 0
FIRST a2- R3 Y4 7
SECOND a5- R2 B3 0
FIRST d3- B4 R2 7
SECOND f4- G4 Y4 0
FIRST d2+ G4 Y1 8
SECOND d6- Y4 R3 0
FIRST d2- Y1 Y1 6
SECOND c4- B3 R3 0
FIRST a4+ Y1 B2 7
SECOND b1+ G3 G4 0
FIRST c5+ G2 Y2 6
SECOND e1+ R3 B4 0
FIRST b6- B2 Y4 6
SECOND e6- G4 R4 0
FIRST c5- B2 G1 6
SECOND e4+ Y4 B4 0
FIRST b5+ Y2 G2 6
SECOND a1+ R3 G1 0
FIRST a6+ R2 R4 6
SECOND e3+ B4 Y2 0
FIRST e4- Y4 G3 6
SECOND f6- R1 R1 0
FIRST b1- G3 R2 5
SECOND a5+ G1 B3 0
FIRST e2- Y4 G4 5
SECOND a6- B4 G3 0
FIRST d4+ R4 G1 5
SECOND e5- R4 G2 0
FIRST e2+ G4 X0 4
SECOND d6+ R1 X0 0
FIRST c4+ G2 X0 4
SECOND f4+ Y2 X0 0
FIRST d5- R2 X0 3
SECOND f5+ G3 X0 0
FIRST f1+ G1 X0 3
SECOND f5- B3 X0 0
FIRST f1- G1 X0 2
SECOND e6+ G2 X0 0
FINISH
SCOREFIRST 458
SCORESECOND 98
