[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT Y2 R3 R1 G1 B4 R3 B4 B1 B3 G3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G1 Y2 1627
SECOND a5- B4 B2 0
FIRST e3+ R1 R2 6
SECOND d5+ R3 B2 0
FIRST d6- R3 R4 7
SECOND b1- B2 G2 0
FIRST a4+ B4 Y4 7
SECOND e2+ G3 B1 0
FIRST a1+ Y2 Y3 7
SECOND e2- B1 Y2 0
FIRST b1+ R2 G4 7
SECOND c4- B1 R1 0
FIRST b4- R4 G1 7
SECOND d6+ B2 B3 0
FIRST b3+ Y4 Y3 7
SECOND b2+ R1 G4 0
FIRST a5+ G4 Y4 7
SECOND d3+ G4 Y3 0
FIRST b5- Y4 G4 8
SECOND e4- Y2 Y1 0
FIRST b4+ G4 B2 7
SECOND d4+ Y3 G1 0
FIRST d5- Y3 G3 7
SECOND a3- G2 R4 0
FIRST b2- B2 R2 9
SECOND f6- G1 R2 0
FIRST a2+ Y2 B1 8
SECOND b6- Y1 R4 0
FIRST a2- R2 R4 8
SECOND b3- R2 R2 0
FIRST a6- R4 B2 8
SECOND d3- R4 Y4 0
FIRST a3+ B2 B4 8
SECOND f5- B3 Y1 0
FIRST a6+ B4 B3 8
SECOND e4+ R4 B4 0
FIRST e5- Y3 R3 8
SECOND c1+ R2 Y2 0
FIRST e5+ R3 R1 7
SECOND f2+ Y1 Y3 0
FIRST f3- B1 G2 6
SECOND f1- B4 R3 0
FIRST c1- G2 Y1 6
SECOND f4+ Y4 G3 0
FIRST c5+ G3 G3 6
SECOND e1- Y2 G1 0
FIRST c5- B3 G2 6
SECOND c3- Y3 G2 0
FIRST c2- G2 Y1 5
SECOND c2+ G3 R1 0
FIRST b5+ G3 B3 5
SECOND d2+ G2 G4 0
FIRST c6- B3 B1 4
SECOND b6+ R3 Y4 0
FIRST f2- R1 X0 4
SECOND c4+ G1 X0 0
FIRST f1+ G1 X0 3
SECOND d1+ B3 X0 0
FIRST e1+ Y1 X0 3
SECOND d2- Y4 X0 0
FIRST e6+ B1 X0 3
SECOND f5+ G4 X0 0
FIRST e6- Y1 X0 2
SECOND f4- R1 X0 0
FINISH
SCOREFIRST 444
SCORESECOND 92
