[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R3 G2 B1 B4 Y3 Y2 G3 R3 Y3 Y1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B4 B1 1934
SECOND c2+ Y2 Y4 0
FIRST c3- G2 B3 15
SECOND d6+ Y1 G2 1
FIRST e6- B1 R4 9
SECOND d5- Y3 R3 1
FIRST c5+ R3 G4 9
SECOND c4+ R3 B1 0
FIRST c5- B3 Y2 9
SECOND e5+ B1 R2 0
FIRST c6- Y3 Y2 10
SECOND b6+ Y4 B3 0
FIRST b3+ Y2 Y1 9
SECOND d6- G3 B2 0
FIRST b6- G4 Y1 10
SECOND f4+ B3 R1 0
FIRST e6+ Y1 R1 9
SECOND a2- R1 B4 0
FIRST f6- R1 R4 9
SECOND b2+ B4 Y3 0
FIRST f5+ B1 G1 9
SECOND b4+ B2 G4 0
FIRST b4- Y2 B2 9
SECOND e5- R2 Y4 0
FIRST f5- Y1 G4 9
SECOND c4- G2 R2 0
FIRST a4+ B2 G2 9
SECOND a1+ R3 R4 0
FIRST a5- G2 G3 9
SECOND b1+ Y3 G1 0
FIRST d5+ G3 R1 9
SECOND e4+ G1 G4 0
FIRST a6+ R4 Y3 9
SECOND d1+ G4 G3 0
FIRST b5+ Y3 G1 9
SECOND f2+ Y4 R1 0
FIRST e2+ R4 R2 9
SECOND a6- R2 R4 0
FIRST a5+ R2 Y4 8
SECOND f1- R4 G1 0
FIRST f2- G4 B2 8
SECOND e1+ R1 B1 0
FIRST f1+ Y4 B4 8
SECOND f3- G4 G2 0
FIRST b5- B2 B3 7
SECOND c2- G2 Y1 0
FIRST d4+ B3 G3 7
SECOND d3+ R4 Y2 0
FIRST e3+ B4 R3 8
SECOND c1- G1 B4 0
FIRST e4- R3 Y4 7
SECOND e1- B1 B2 0
FIRST d3- Y4 R2 7
SECOND a2+ B4 B3 0
FIRST b3- R2 X0 6
SECOND a3- B3 X0 0
FIRST b1- G3 X0 5
SECOND a3+ B2 X0 0
FIRST e2- G1 X0 4
SECOND d2- G3 X0 0
FIRST d2+ R1 X0 3
SECOND f4- Y1 X0 0
FIRST c1+ G1 X0 4
SECOND b2- Y2 X0 0
FINISH
SCOREFIRST 496
SCORESECOND 102
