[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R2 R4 B2 Y4 Y3 B2 Y3 G4 G2 Y4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y4 B4 1883
SECOND f2- Y4 R2 0
FIRST e2+ B4 G2 14
SECOND a6+ G2 B3 0
FIRST b6- R2 R2 12
SECOND b1- R2 R4 0
FIRST f2+ R4 G2 8
SECOND b2+ G4 G2 1
FIRST b5+ G2 Y1 8
SECOND a1+ B2 Y4 0
FIRST b5- G2 B1 9
SECOND c2- Y4 B3 0
FIRST b4+ R2 B2 8
SECOND b3- Y3 G4 0
FIRST a5+ B2 B3 8
SECOND f4+ G4 Y2 0
FIRST a6- B2 R3 9
SECOND b6+ Y2 Y2 0
FIRST a3+ Y3 G4 9
SECOND a5- Y2 G1 0
FIRST a3- R3 Y3 8
SECOND a4+ G2 B4 0
FIRST d3+ G4 R1 12
SECOND d3- B3 R4 0
FIRST a2+ B3 G4 8
SECOND e1- B4 R3 0
FIRST e2- G4 G1 8
SECOND e4- R4 R1 0
FIRST a2- Y3 G1 8
SECOND e6+ B3 G1 0
FIRST f1+ G1 B3 9
SECOND e6- G1 B1 0
FIRST b3+ B3 Y1 8
SECOND d5+ R3 Y1 0
FIRST d6+ R1 B1 8
SECOND c5- Y1 Y3 0
FIRST c5+ Y1 B4 7
SECOND d6- R1 B2 0
FIRST e3+ B4 Y2 8
SECOND d4+ R4 Y1 0
FIRST b4- Y2 R1 7
SECOND f5+ B1 B4 0
FIRST f6- R1 R3 6
SECOND d2+ B4 B1 0
FIRST b2- R3 G3 6
SECOND d5- B1 R1 0
FIRST b1+ G3 R4 6
SECOND f3- R1 R2 0
FIRST e1+ R4 Y4 6
SECOND d2- G1 R3 0
FIRST d1+ Y4 G3 6
SECOND c1+ Y1 G3 0
FIRST c3- G3 Y2 5
SECOND e4+ R2 G3 0
FIRST c4- Y2 X0 5
SECOND c1- B2 X0 0
FIRST c6- G1 X0 4
SECOND e5- G3 X0 0
FIRST c4+ B1 X0 3
SECOND f5- G3 X0 0
FIRST e5+ Y1 X0 3
SECOND f4- R3 X0 0
FIRST f1- B1 X0 3
SECOND c2+ Y3 X0 0
FINISH
SCOREFIRST 484
SCORESECOND 102
