[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B1 G2 R1 Y2 G4 R2 G1 B1 R1 G1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y2 R4 1728
SECOND c5- G1 B2 0
FIRST c5+ B1 B3 6
SECOND a5+ G1 Y1 1
FIRST e2+ G2 R1 8
SECOND b2+ B2 Y4 1
FIRST b5- R1 R3 7
SECOND c2+ Y1 R4 1
FIRST b5+ R1 Y3 7
SECOND a3- B1 Y3 0
FIRST b2- R3 G1 6
SECOND c1- R2 B4 0
FIRST b4+ G1 Y4 8
SECOND b3+ B4 B1 0
FIRST c3- R4 G4 8
SECOND d2+ R4 G4 0
FIRST d2- G4 Y4 7
SECOND e4- B1 G4 0
FIRST b1+ Y3 Y1 7
SECOND e2- G4 B3 0
FIRST a5- Y1 Y3 7
SECOND a2+ R1 Y4 0
FIRST b4- Y4 Y1 7
SECOND e6+ G4 R4 0
FIRST a6- Y1 Y2 7
SECOND a4+ Y4 G2 0
FIRST b3- G4 R2 7
SECOND f2+ R4 Y2 0
FIRST a3+ Y4 R3 7
SECOND b6- Y3 B3 0
FIRST c2- Y2 B2 7
SECOND d6- B3 G3 0
FIRST c1+ R2 B3 7
SECOND e5+ Y4 B4 0
FIRST d6+ R3 G2 7
SECOND e1- B4 G2 0
FIRST b6+ Y3 G3 6
SECOND c6- G2 R2 0
FIRST a6+ B3 B4 6
SECOND d5+ R2 Y2 0
FIRST d1+ B4 B1 6
SECOND e4+ G2 G3 0
FIRST c4- B1 B2 6
SECOND d3+ G3 Y1 0
FIRST e5- G2 R4 6
SECOND f4+ Y2 R1 0
FIRST f4- B2 G1 6
SECOND f2- Y2 R3 0
FIRST c4+ G1 G3 5
SECOND a2- G3 B2 0
FIRST f5- B2 B4 5
SECOND b1- Y1 Y3 0
FIRST e1+ R4 R2 5
SECOND a1+ R1 R3 0
FIRST d3- B4 X0 4
SECOND d5- B2 X0 0
FIRST d4+ R2 X0 4
SECOND f6- R3 X0 0
FIRST e6- G3 X0 3
SECOND e3+ Y3 X0 0
FIRST f5+ G3 X0 3
SECOND f3- R3 X0 0
FIRST f1+ B3 X0 2
SECOND f1- B3 X0 0
FINISH
SCOREFIRST 324
SCORESECOND 100
