[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B2 Y4 Y4 B1 B1 Y3 B2 B4 B2 Y3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B1 B4 1718
SECOND b1- Y3 R2 1
FIRST d3+ B1 R4 7
SECOND a5+ R2 B3 0
FIRST a5- B2 G1 6
SECOND d3- Y3 G3 0
FIRST e2+ G1 R2 6
SECOND b1+ B3 G3 0
FIRST b5- R2 Y3 7
SECOND b5+ B2 G2 0
FIRST c1- Y3 Y1 7
SECOND e1+ B2 R4 0
FIRST e3+ Y1 R1 7
SECOND a4+ B4 Y4 0
FIRST e2- R1 G2 7
SECOND b3- G2 G4 0
FIRST a6- G2 Y3 7
SECOND d1+ G3 Y1 0
FIRST b4- Y4 B4 7
SECOND c6- G4 G1 0
FIRST b4+ B4 R1 7
SECOND c2+ G1 G2 0
FIRST e4- R1 Y2 7
SECOND c3- Y1 B1 0
FIRST a6+ Y2 G1 7
SECOND e5- G2 R1 0
FIRST d2+ G1 R4 7
SECOND f2- Y4 B1 0
FIRST c5+ Y4 B3 7
SECOND d5+ B1 Y2 0
FIRST c5- R4 B3 7
SECOND f2+ R4 G4 0
FIRST f3- B4 G4 8
SECOND e6- G3 R3 0
FIRST d6+ Y3 Y2 7
SECOND f4+ R1 R3 0
FIRST b6- Y2 R3 8
SECOND f1- Y2 Y1 0
FIRST b2- B3 G2 8
SECOND c1+ R3 R2 0
FIRST b6+ G2 G4 7
SECOND a2+ Y1 R1 0
FIRST a1+ B3 R2 7
SECOND f5+ B1 R4 0
FIRST a2- R3 G3 7
SECOND e5+ R2 Y4 0
FIRST b2+ G3 Y1 6
SECOND d4+ R3 G1 0
FIRST d2- Y1 R3 5
SECOND c4- Y4 B4 0
FIRST c4+ G4 B2 5
SECOND f4- R4 B3 0
FIRST c2- R3 G3 5
SECOND e4+ R1 Y2 0
FIRST b3+ R4 X0 4
SECOND d6- G1 X0 0
FIRST d5- G4 X0 4
SECOND a3+ B3 X0 0
FIRST e1- R2 X0 4
SECOND f1+ B4 X0 0
FIRST e6+ G3 X0 3
SECOND f6- Y2 X0 0
FIRST f5- B2 X0 3
SECOND a3- G4 X0 0
FINISH
SCOREFIRST 424
SCORESECOND 104
