[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R1 G1 Y4 R3 G4 R2 R4 B3 G1 G1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R3 G1 1858
SECOND c5+ G1 G2 1
FIRST c5- G1 B2 14
SECOND f2- B3 R1 1
FIRST c6- R1 G3 15
SECOND a6+ R2 G4 0
FIRST e2+ G3 Y3 9
SECOND d1+ R1 Y3 0
FIRST b5+ G1 Y1 9
SECOND c4- G1 R1 0
FIRST c4+ Y1 G3 9
SECOND a2- R1 R3 0
FIRST f1+ Y3 Y2 8
SECOND e3+ R3 G2 1
FIRST d3+ G3 Y3 8
SECOND f6- R4 B3 0
FIRST d3- Y3 B1 8
SECOND d6+ G4 Y2 0
FIRST b4+ B1 R2 8
SECOND d4+ G2 B2 0
FIRST e6- G4 G2 8
SECOND f1- B2 B1 0
FIRST e6+ Y4 B2 8
SECOND a6- Y2 Y4 0
FIRST e4- Y2 G2 8
SECOND e5+ G2 Y3 0
FIRST b6- B2 Y2 8
SECOND a3+ B3 B1 0
FIRST b6+ G2 R4 8
SECOND b1- Y3 B4 0
FIRST d6- R4 R4 8
SECOND a4+ B1 G3 0
FIRST a5+ R2 R1 7
SECOND e1+ B1 Y4 0
FIRST b4- R1 G4 6
SECOND c3- Y4 Y2 0
FIRST a5- Y2 Y1 7
SECOND f5+ G3 R3 0
FIRST b5- Y1 B4 6
SECOND b3+ Y3 Y1 0
FIRST d5+ G4 Y4 6
SECOND d5- R3 B4 0
FIRST e5- R4 B3 6
SECOND b2- B4 R2 0
FIRST e4+ B4 R2 5
SECOND a3- Y4 R4 0
FIRST f4- Y4 B1 5
SECOND f4+ R4 Y1 0
FIRST d2+ B3 B3 5
SECOND b2+ Y1 B2 0
FIRST f3- B3 R3 5
SECOND a1+ Y1 G3 0
FIRST e2- R3 B4 5
SECOND c1+ R2 G4 0
FIRST f5- B4 X0 4
SECOND d2- B2 X0 0
FIRST e1- B1 X0 4
SECOND b3- B4 X0 0
FIRST c1- B2 X0 3
SECOND b1+ Y2 X0 0
FIRST c2+ R2 X0 3
SECOND c2- G4 X0 0
FIRST f2+ G2 X0 2
SECOND a2+ G3 X0 0
FINISH
SCOREFIRST 402
SCORESECOND 96
