[FIRST "COMMAND: python player_ppo_5.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B3 G1 Y2 R3 G3 R1 R3 R1 B3 Y4
# Debug FIRST: C:\Users\SOGANG\Desktop\RL\RL_Connexion\duram\testing-tool-connexion-1.0.0\sample\player_ppo_5.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST d5+ B3 Y2 1731
SECOND c5- R1 R2 0
FIRST b5+ G1 Y4 6
SECOND c6- R3 R4 0
FIRST d6- G3 R3 7
SECOND e4+ R1 B2 0
FIRST b6+ R3 G4 7
SECOND f1+ Y4 G2 0
FIRST d5- R3 R1 7
SECOND c4- R2 G4 0
FIRST b5- R1 R2 7
SECOND c1- B2 Y4 0
FIRST b1+ Y2 R4 7
SECOND d3+ G4 B4 0
FIRST e3- R4 G1 7
SECOND a3- B3 Y3 0
FIRST c5+ G1 G3 7
SECOND b4- G2 R3 0
FIRST b4+ Y2 Y4 7
SECOND f3- R3 B1 0
FIRST a2+ G3 G2 7
SECOND f2+ B4 Y3 0
FIRST f2- Y4 Y1 7
SECOND e2+ B1 G3 0
FIRST e3+ G4 R1 7
SECOND c1+ R4 G4 0
FIRST b3+ R2 Y3 7
SECOND d1+ G4 B2 0
FIRST b3- G2 B3 7
SECOND e1+ G3 Y2 0
FIRST a5+ Y1 G4 6
SECOND a4+ B2 R2 0
FIRST a5- R1 B1 7
SECOND e6+ Y3 G1 0
FIRST a6- B1 R4 6
SECOND f6- Y3 G2 0
FIRST d2- Y4 B4 6
SECOND f5+ R2 B3 0
FIRST b6- Y3 Y1 6
SECOND c3- Y2 Y1 0
FIRST c4+ Y1 B4 6
SECOND e5- B3 Y1 0
FIRST d2+ R4 B2 6
SECOND b2- Y1 G1 0
FIRST d3- B4 Y3 6
SECOND a1+ Y1 G3 0
FIRST c2+ G4 B1 5
SECOND a3+ Y4 Y2 0
FIRST c2- B4 R2 5
SECOND e4- G3 R4 0
FIRST d4+ B3 G2 5
SECOND a2- Y2 B4 0
FIRST a6+ B1 B2 4
SECOND b2+ R4 B1 0
FIRST d6+ Y3 X0 4
SECOND f5- B1 X0 0
FIRST b1- B2 X0 4
SECOND f4+ G1 X0 0
FIRST e1- R2 X0 3
SECOND e2- G1 X0 0
FIRST f1- B2 X0 3
SECOND e6- B4 X0 0
FIRST e5+ G2 X0 3
SECOND f4- G2 X0 0
FINISH
SCOREFIRST 356
SCORESECOND 84
