[FIRST "COMMAND: python player_ppo_5.py P1"]
[SECOND "COMMAND: python sample-code.py P2"]
[RESULT "0-1"]
INIT R3 B3 Y2 Y3 R4 Y2 Y3 R1 Y2 G1
# Debug FIRST: C:\Users\SOGANG\Desktop\RL\RL_Connexion\duram\testing-tool-connexion-1.0.0\sample\player_ppo_5.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST d5+ R3 R2 1760
SECOND d5- R1 G3 2
FIRST d6- Y3 B2 6
SECOND d6+ Y2 G1 5
FIRST e5- B3 G1 6
SECOND e6- Y3 Y4 10
FIRST c5+ G1 B4 7
SECOND e5+ Y2 G4 17
FIRST f5- R2 G2 7
SECOND e6+ Y4 B2 27
FIRST f5+ G2 G3 7
SECOND c5- G1 B1 38
FIRST f4+ Y2 R3 7
SECOND b5+ G3 G2 54
FIRST f4- B2 G4 7
SECOND b5- G1 R2 66
FIRST e4+ G3 R4 7
SECOND a5+ G4 R2 83
FIRST e4- R3 G4 8
SECOND a5- G2 B1 101
FIRST a6- B4 R1 8
SECOND d4+ R2 G4 120
FIRST a6+ R4 Y2 9
SECOND a4+ G4 B3 142
FIRST b6- R4 Y1 10
SECOND e3+ R2 Y4 162
FIRST b6+ G4 R2 8
SECOND f6- Y4 B4 182
FIRST b4+ Y1 B1 8
SECOND a1+ B2 Y1 202
FIRST b4- B1 B4 8
SECOND a2- B1 R3 225
FIRST b3+ R1 B1 8
SECOND e3- R3 G3 248
FIRST c6- B4 R1 8
SECOND c4+ G3 G2 259
FIRST b3- B1 G1 7
SECOND c4- G2 R4 276
FIRST a3+ R1 Y4 7
SECOND d3+ R4 B2 291
FIRST a3- G1 B3 8
SECOND a2+ B1 Y1 304
FIRST f3- Y2 B2 7
SECOND b1- B3 R4 315
FIRST d3- Y4 G3 7
SECOND e2+ R4 Y3 315
FIRST d2+ G4 Y3 6
SECOND b1+ B4 R1 311
FIRST f2+ B2 G2 6
SECOND e2- R1 R3 302
FIRST f2- G2 Y1 6
SECOND e1+ R3 B3 293
FIRST b2- Y1 Y4 5
SECOND c1- B2 B4 272
FIRST d2- Y4 X0 5
SECOND c1+ B3 X0 246
FIRST f1+ R2 X0 4
SECOND c2- B4 X0 170
FIRST f1- B3 X0 4
SECOND b2+ Y1 X0 100
FIRST e1- Y3 X0 3
SECOND d1+ Y1 X0 44
FIRST c2+ G3 X0 3
SECOND c3- Y3 X0 8
FINISH
SCOREFIRST 292
SCORESECOND 322
