[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B1 Y2 G2 Y3 Y1 R2 B1 Y4 B4 R4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y3 B3 1788
SECOND d3+ Y4 R3 2
FIRST e2+ B3 G3 7
SECOND e2- B1 B1 2
FIRST e3+ G3 G3 7
SECOND d2+ B4 B3 2
FIRST f2- G3 Y4 7
SECOND d2- B1 Y1 2
FIRST d3- Y4 R2 8
SECOND c2+ B3 Y2 2
FIRST d1+ Y1 B2 7
SECOND e1- Y2 B3 2
FIRST e1+ G2 B1 7
SECOND c2- B3 R4 2
FIRST f1- B2 B3 7
SECOND b2- R2 B2 2
FIRST f1+ R2 Y4 7
SECOND c3- B2 G4 2
FIRST e4- B3 R1 7
SECOND a2+ R4 R3 2
FIRST b3+ Y2 R2 8
SECOND a3- R3 R2 2
FIRST b4- R2 B2 8
SECOND a3+ R4 Y2 1
FIRST b4+ B2 G4 7
SECOND b3- R3 G1 1
FIRST a2- G4 G4 7
SECOND b2+ R2 G4 1
FIRST a1+ Y4 G1 8
SECOND b1- Y1 G2 1
FIRST b1+ B1 B4 8
SECOND f2+ G4 R1 1
FIRST c1- R1 G1 7
SECOND f3- G1 R1 1
FIRST c1+ G1 R4 7
SECOND a4+ R1 Y1 1
FIRST a5- G1 R3 7
SECOND a5+ G4 Y4 1
FIRST d4+ R3 B4 7
SECOND a6- G2 B4 1
FIRST b5- R4 G2 7
SECOND d5- R1 B2 1
FIRST c4- G2 R1 7
SECOND e4+ B4 G1 1
FIRST d5+ B1 R3 7
SECOND e5- B2 G3 1
FIRST b5+ B4 R4 7
SECOND a6+ G1 G3 1
FIRST c5- B4 Y3 6
SECOND b6- G3 Y3 1
FIRST d6- R1 Y1 5
SECOND b6+ G3 Y3 0
FIRST c6- R3 Y2 5
SECOND d6+ Y2 G2 0
FIRST c5+ G4 X0 5
SECOND e6- Y1 X0 0
FIRST c4+ R4 X0 4
SECOND e5+ Y4 X0 0
FIRST e6+ Y1 X0 6
SECOND f5- Y3 X0 1
FIRST f4- Y3 X0 3
SECOND f4+ Y3 X0 0
FIRST f6- Y2 X0 2
SECOND f5+ G2 X0 0
FINISH
SCOREFIRST 210
SCORESECOND 262
