[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT Y3 B1 B3 R4 Y4 B4 G1 G2 Y4 B4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R4 G2 1716
SECOND d2- B4 Y1 2
FIRST d3+ Y4 G1 6
SECOND d3- Y1 R3 2
FIRST d2+ B1 R3 7
SECOND e2- B4 Y1 2
FIRST e2+ Y3 Y1 7
SECOND e3+ R3 Y3 2
FIRST e4- R3 G4 7
SECOND f2- Y4 R3 2
FIRST e4+ B3 R2 7
SECOND d4+ R3 B1 2
FIRST f1+ G4 Y4 7
SECOND c2+ B1 G2 2
FIRST f1- Y4 R3 7
SECOND f2+ Y1 G3 2
FIRST e5- R3 G3 9
SECOND f3- Y3 R4 2
FIRST d5- G3 Y1 8
SECOND c5+ G1 B3 1
FIRST c6- G1 G3 7
SECOND c2- B3 R2 1
FIRST e5+ G3 B4 7
SECOND c5- G2 G1 2
FIRST e1+ B4 R1 7
SECOND b5+ G3 G4 1
FIRST b6+ Y1 B1 7
SECOND b5- G2 Y4 1
FIRST b4+ R2 Y2 7
SECOND c4+ G1 R4 1
FIRST b6- B1 G4 7
SECOND c4- G4 Y2 1
FIRST e1- G4 R1 7
SECOND b4- R4 G4 1
FIRST a6+ Y1 G2 7
SECOND d5+ G4 G3 1
FIRST a6- R1 B2 7
SECOND a5+ G3 R2 1
FIRST c3- R1 R2 7
SECOND b3+ R2 R1 1
FIRST b3- G2 B3 6
SECOND a4+ R2 B3 1
FIRST e6- B3 B4 6
SECOND d1+ B3 Y3 1
FIRST a3+ G2 Y3 6
SECOND a5- R4 B2 1
FIRST d6+ Y3 R4 6
SECOND c1+ B2 B2 1
FIRST a3- Y2 G1 5
SECOND c1- B2 B1 1
FIRST a2+ B2 Y2 5
SECOND b2+ B1 R1 0
FIRST a2- R2 B2 5
SECOND d6- Y2 Y2 0
FIRST b2- Y2 X0 4
SECOND b1+ Y4 X0 0
FIRST a1+ B2 X0 4
SECOND b1- Y3 X0 0
FIRST f6- R4 X0 3
SECOND e6+ R1 X0 0
FIRST f5+ B4 X0 2
SECOND f4- R1 X0 0
FIRST f4+ G1 X0 2
SECOND f5- Y2 X0 0
FINISH
SCOREFIRST 284
SCORESECOND 312
