[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B1 G1 R1 G4 R3 Y2 R3 R1 B4 R4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G4 B4 1699
SECOND d2- Y2 B1 2
FIRST e2+ B4 G3 7
SECOND e2- B1 Y3 2
FIRST d2+ R1 R2 7
SECOND e1+ B4 Y4 2
FIRST d1+ R2 Y1 7
SECOND c2+ Y3 G3 2
FIRST c2- R3 R4 7
SECOND c3- Y4 Y3 2
FIRST b3+ R4 Y4 7
SECOND b3- R3 B3 2
FIRST b2+ G3 B3 8
SECOND f2- B3 B3 2
FIRST d3+ Y4 R3 7
SECOND e1- B3 R4 2
FIRST b2- B3 G3 7
SECOND b4- R1 R2 2
FIRST a2+ R3 Y3 7
SECOND a3+ R4 R2 2
FIRST a2- G3 R2 7
SECOND a3- R2 G4 2
FIRST a1+ Y3 B2 8
SECOND b4+ R4 R1 1
FIRST a4+ G1 B2 7
SECOND c4- R2 Y1 1
FIRST d3- B1 R4 7
SECOND c4+ R1 Y4 1
FIRST f1- R4 G2 7
SECOND a5- G3 G4 1
FIRST c5- Y1 Y2 7
SECOND a5+ G4 G2 1
FIRST e4- B2 Y1 8
SECOND b5- G2 B1 1
FIRST b5+ R2 B1 7
SECOND f2+ B1 G2 1
FIRST c5+ B1 Y4 7
SECOND a6- G2 Y2 1
FIRST b6- B2 B4 7
SECOND a6+ G4 Y1 1
FIRST f3- Y1 B3 6
SECOND b1- Y1 B4 1
FIRST c1+ B3 R1 6
SECOND f1+ B4 G1 1
FIRST b6+ Y2 Y2 6
SECOND b1+ Y4 G1 1
FIRST c6- G2 G2 6
SECOND c1- Y2 G3 1
FIRST e3+ Y4 G4 6
SECOND d4+ Y3 B2 0
FIRST e4+ Y2 Y3 5
SECOND d5- B2 B2 0
FIRST d5+ G2 G1 5
SECOND e5- Y1 R3 0
FIRST e5+ R1 X0 4
SECOND d6- G1 X0 0
FIRST e6- G1 X0 4
SECOND d6+ G3 X0 0
FIRST f6- G4 X0 3
SECOND e6+ G1 X0 0
FIRST f5+ B4 X0 3
SECOND f5- B2 X0 0
FIRST f4- Y3 X0 2
SECOND f4+ R3 X0 0
FINISH
SCOREFIRST 214
SCORESECOND 268
