[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT Y1 Y3 R3 B4 R4 B2 Y1 Y4 R3 G2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B4 B1 1670
SECOND d3+ B2 R4 2
FIRST e2+ R4 Y3 6
SECOND e2- R3 R2 2
FIRST d2+ R3 Y1 7
SECOND d2- R4 B4 2
FIRST d3- Y3 B2 7
SECOND c2+ R2 G3 2
FIRST c2- B2 G1 7
SECOND e3+ B4 G4 3
FIRST e1+ Y3 R1 8
SECOND e1- Y1 G1 2
FIRST d1+ Y1 R2 7
SECOND f1- Y4 G1 2
FIRST c1+ R2 R1 7
SECOND b2- G2 G3 2
FIRST b4+ Y1 G1 7
SECOND a2+ G3 B4 2
FIRST b5- R1 Y2 7
SECOND e4- B4 R2 2
FIRST b2+ Y2 G2 7
SECOND f2- R2 B2 2
FIRST b3- G2 B4 8
SECOND d4+ B2 B1 2
FIRST b4- G1 G3 7
SECOND d5- B1 Y3 2
FIRST a4+ B1 R4 7
SECOND f1+ Y3 R4 2
FIRST a5- R1 Y4 7
SECOND c3- R4 R3 1
FIRST a5+ G1 B2 7
SECOND b3+ R3 Y1 1
FIRST e4+ Y4 B3 7
SECOND a3- G4 Y3 1
FIRST a3+ B2 R2 7
SECOND b1+ G1 R1 1
FIRST f3- R4 B1 7
SECOND f2+ R1 Y2 1
FIRST e5- B4 B3 7
SECOND c1- G3 B1 1
FIRST a6- B1 G4 6
SECOND d5+ B1 B3 1
FIRST e5+ G4 Y4 6
SECOND c5+ B3 R1 1
FIRST e6- Y4 G2 6
SECOND a2- G1 G2 1
FIRST c5- G3 G3 6
SECOND b1- G2 Y4 1
FIRST a1+ R2 G4 5
SECOND f4- Y1 B3 1
FIRST d6+ G4 R3 5
SECOND d6- B3 Y2 1
FIRST b5+ B3 Y2 5
SECOND f4+ Y3 G4 0
FIRST c4+ B3 X0 5
SECOND f5- Y2 X0 0
FIRST c4- R3 X0 4
SECOND f5+ Y4 X0 0
FIRST c6- G3 X0 3
SECOND f6- Y2 X0 0
FIRST e6+ G2 X0 3
SECOND b6+ G4 X0 0
FIRST a6+ Y2 X0 2
SECOND b6- R1 X0 0
FINISH
SCOREFIRST 288
SCORESECOND 338
