[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT G2 G1 Y1 R1 G1 G1 R3 B3 B4 B4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R1 B2 1667
SECOND d3+ R3 R2 2
FIRST e2+ Y1 Y1 6
SECOND d3- R2 B1 2
FIRST e2- G1 Y2 7
SECOND d2+ G1 B2 2
FIRST d2- G1 B1 7
SECOND b3- B3 G4 2
FIRST e3+ Y1 B1 8
SECOND c2+ G4 G4 2
FIRST e4- B1 B3 8
SECOND d1+ G4 Y1 2
FIRST e1+ B1 G4 7
SECOND a3+ B4 B3 2
FIRST a3- G4 B2 7
SECOND b3+ B4 R1 2
FIRST b2+ B3 G3 7
SECOND b4- B1 G2 2
FIRST b2- G3 R2 7
SECOND b4+ B2 Y3 2
FIRST b5- R2 G3 7
SECOND c3- B3 G1 2
FIRST c4- Y2 R1 7
SECOND c2- G2 Y4 2
FIRST d4+ R1 R3 7
SECOND c1+ G1 Y4 1
FIRST a5+ B2 B4 7
SECOND c4+ Y1 Y2 1
FIRST a5- B2 Y2 7
SECOND c5- Y3 G2 1
FIRST a4+ G2 Y4 7
SECOND c1- G2 R4 1
FIRST a6- Y2 R2 7
SECOND c5+ Y4 R3 1
FIRST a6+ R2 R4 6
SECOND d5- Y2 B2 1
FIRST c6- B4 Y4 7
SECOND d5+ Y4 R1 1
FIRST a2+ R3 R4 6
SECOND b5+ R1 Y1 1
FIRST a2- G3 B3 6
SECOND e5- Y1 G3 1
FIRST a1+ B3 G4 6
SECOND b1+ G3 R2 1
FIRST d6- G4 Y3 6
SECOND b6- R4 Y3 1
FIRST b1- Y3 Y3 5
SECOND e4+ Y3 Y2 1
FIRST b6+ Y4 B4 5
SECOND e5+ Y2 G3 0
FIRST d6+ R4 R3 5
SECOND e1- G3 B1 0
FIRST e6- B4 G2 5
SECOND e6+ B2 R4 0
FIRST f6- G2 X0 5
SECOND f1- B1 X0 0
FIRST f4- R3 X0 3
SECOND f4+ R1 X0 0
FIRST f2+ R4 X0 3
SECOND f5- R3 X0 0
FIRST f5+ Y3 X0 2
SECOND f2- R2 X0 0
FIRST f3- Y4 X0 2
SECOND f1+ R4 X0 0
FINISH
SCOREFIRST 300
SCORESECOND 326
