[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT Y3 Y1 G4 Y1 Y4 B3 B4 R1 G2 R2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y1 B4 1663
SECOND d2- B3 R4 2
FIRST d1+ Y3 Y3 7
SECOND c2+ B4 B2 2
FIRST e2+ Y1 R1 7
SECOND c2- B2 G2 2
FIRST c3- Y4 G3 7
SECOND b3- R1 G1 2
FIRST b3+ B4 R3 8
SECOND b2+ R4 R3 2
FIRST e1- R3 R2 9
SECOND b2- R2 Y2 2
FIRST e3+ R1 R4 8
SECOND a2+ R3 G1 2
FIRST d2+ G3 B2 8
SECOND d3+ Y2 R4 2
FIRST e1+ Y3 G1 8
SECOND a3- R4 G3 2
FIRST a3+ G4 B4 8
SECOND d3- G1 R2 2
FIRST b4- R4 R3 7
SECOND a2- R2 R1 2
FIRST e2- R3 G2 7
SECOND b1+ R1 Y1 2
FIRST f3- G1 R4 8
SECOND f2- Y1 Y1 2
FIRST b4+ B4 R1 7
SECOND f1+ Y1 B1 2
FIRST f2+ R1 B2 7
SECOND c1+ B1 B2 1
FIRST b5- R4 G3 8
SECOND c1- B2 G4 1
FIRST f1- G3 G1 7
SECOND a4+ G2 Y3 1
FIRST e4- G1 Y2 7
SECOND d4+ G2 G4 1
FIRST a1+ B2 G4 7
SECOND d5- G1 Y2 1
FIRST a5+ G4 B3 7
SECOND c5+ G3 B4 1
FIRST b1- B2 G2 7
SECOND d5+ G4 G3 1
FIRST c5- B3 B1 6
SECOND e4+ G4 R3 1
FIRST a5- R2 B3 6
SECOND e5- G3 Y4 1
FIRST c4+ B3 Y2 6
SECOND c4- B4 Y3 1
FIRST f5- G2 B1 5
SECOND b5+ R3 B3 1
FIRST e5+ Y2 Y4 5
SECOND e6- Y3 Y4 0
FIRST a6- Y4 R2 5
SECOND d6+ Y2 B1 0
FIRST d6- R2 X0 4
SECOND e6+ Y4 X0 0
FIRST f4+ G2 X0 3
SECOND f6- Y3 X0 0
FIRST f4- Y2 X0 3
SECOND f5+ Y4 X0 0
FIRST c6- B1 X0 3
SECOND b6+ B3 X0 0
FIRST b6- B1 X0 2
SECOND a6+ B1 X0 0
FINISH
SCOREFIRST 272
SCORESECOND 250
