[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT Y2 R1 G3 B2 G2 B2 G2 Y4 G1 Y1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B2 G4 1624
SECOND d3+ B2 Y4 2
FIRST e2+ Y2 R4 7
SECOND e2- Y4 R3 2
FIRST e3+ G2 R2 7
SECOND d2+ Y1 R1 2
FIRST d3- R2 B2 7
SECOND d2- Y4 G3 2
FIRST e4- B2 B4 7
SECOND f3- G1 B1 2
FIRST f2+ R1 G2 7
SECOND d4+ B1 R2 2
FIRST e4+ G2 Y3 7
SECOND e5- G3 B3 2
FIRST e5+ G3 Y3 7
SECOND d5+ G2 Y2 2
FIRST c2+ B4 Y4 7
SECOND d1+ Y2 R4 2
FIRST e6- Y3 G3 7
SECOND d5- B3 R4 2
FIRST d6+ Y3 R2 7
SECOND f2- R3 Y3 1
FIRST f4- R2 B1 7
SECOND e1+ Y3 B4 1
FIRST c2- Y4 B3 10
SECOND c5+ B4 G2 1
FIRST e6+ G3 B4 7
SECOND f5- G2 Y3 1
FIRST d6- B3 B3 7
SECOND e1- Y3 G1 1
FIRST f6- B3 G4 7
SECOND f4+ G1 R2 1
FIRST c6- R4 G1 7
SECOND f1+ R1 Y1 1
FIRST c1+ G4 R3 7
SECOND f1- Y1 R3 1
FIRST f5+ R3 Y1 7
SECOND b6+ R2 G3 1
FIRST c1- B4 R4 6
SECOND b6- R4 R1 1
FIRST c3- G4 Y1 6
SECOND b5+ R2 B3 1
FIRST b1+ R4 B1 6
SECOND b5- R4 B1 1
FIRST a5- G1 Y2 6
SECOND b4+ R3 B4 1
FIRST a4+ Y1 G1 5
SECOND c4- R1 Y2 1
FIRST b4- Y1 Y4 5
SECOND c5- B3 G4 1
FIRST b3+ Y4 R1 5
SECOND c4+ B4 G4 0
FIRST a5+ B1 R3 5
SECOND b3- Y2 B2 0
FIRST a6- G1 X0 5
SECOND a6+ G3 X0 0
FIRST a1+ B1 X0 4
SECOND a2- B2 X0 0
FIRST a2+ Y2 X0 3
SECOND b1- B1 X0 0
FIRST a3+ R1 X0 3
SECOND a3- G4 X0 0
FIRST b2+ R3 X0 2
SECOND b2- G4 X0 0
FINISH
SCOREFIRST 280
SCORESECOND 254
