[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT B2 B4 R2 R4 Y4 R1 G1 G1 Y4 R2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R4 B4 1687
SECOND d3+ R1 G4 2
FIRST e3+ B4 G2 7
SECOND d3- R2 B4 2
FIRST f3- Y4 B3 7
SECOND e4- B4 R3 2
FIRST f2+ B4 G1 7
SECOND d2+ R3 R2 2
FIRST e2- B3 Y1 7
SECOND d2- R2 B2 2
FIRST d1+ B2 Y4 7
SECOND d4+ B2 Y1 2
FIRST e2+ Y4 G2 7
SECOND f2- Y1 R4 2
FIRST e1- R2 G4 7
SECOND c2+ R4 Y2 2
FIRST e4+ G4 R1 7
SECOND f1+ Y4 R3 1
FIRST e1+ G2 B1 7
SECOND c2- R3 G2 1
FIRST d5- G2 R3 7
SECOND f1- Y2 B4 2
FIRST a1+ G1 Y2 7
SECOND a2- G4 Y2 2
FIRST c5+ Y2 Y3 7
SECOND a2+ G1 G3 1
FIRST a3- Y1 G1 7
SECOND b2- G2 B3 1
FIRST a3+ B1 R3 7
SECOND b2+ G1 Y1 1
FIRST b3- R1 Y3 7
SECOND b1+ G3 G4 1
FIRST b3+ G1 B1 7
SECOND b1- G4 B2 1
FIRST b4- B1 R4 7
SECOND b4+ B4 B1 1
FIRST e5- R4 Y1 7
SECOND b5- B3 G3 1
FIRST a4+ Y1 R2 6
SECOND c1- G3 B3 1
FIRST c1+ Y3 R1 8
SECOND b5+ B2 G2 1
FIRST c5- R2 B2 6
SECOND c4- B1 Y3 1
FIRST a5- R1 G3 6
SECOND c4+ B3 R1 1
FIRST c6- B2 G3 5
SECOND c3- R1 B1 1
FIRST a5+ R3 Y2 5
SECOND b6- B1 Y3 0
FIRST d5+ Y2 B3 5
SECOND d6- Y1 Y4 0
FIRST a6- B3 G4 5
SECOND d6+ Y2 R4 0
FIRST e5+ G4 X0 4
SECOND e6- Y3 X0 0
FIRST a6+ R3 X0 4
SECOND e6+ Y4 X0 0
FIRST f6- G3 X0 3
SECOND f4- G2 X0 0
FIRST f5+ G3 X0 3
SECOND f4+ Y3 X0 0
FIRST f5- Y3 X0 2
SECOND b6+ R4 X0 0
FINISH
SCOREFIRST 326
SCORESECOND 264
