[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT Y2 B1 Y4 Y3 B4 G4 B3 G3 R1 Y3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y3 R1 1651
SECOND d3+ Y3 R2 2
FIRST b4+ B1 R1 7
SECOND b4- B3 Y4 2
FIRST b5- R1 G2 7
SECOND d3- Y4 G3 2
FIRST d2+ B4 R4 7
SECOND b5+ R2 B4 2
FIRST b6- G2 B3 7
SECOND b3+ B4 Y2 2
FIRST a6+ Y2 G4 7
SECOND e3+ Y2 R1 2
FIRST e2- R4 B3 7
SECOND c5- R1 G2 2
FIRST d2- Y4 G2 7
SECOND c4+ R1 R2 2
FIRST c4- R1 R2 7
SECOND c5+ R2 Y3 2
FIRST e2+ B3 Y4 7
SECOND e4- Y3 B3 2
FIRST d1+ G4 B4 7
SECOND b3- B3 B2 1
FIRST e1- Y4 G4 7
SECOND c3- B2 R3 1
FIRST e1+ G4 G3 7
SECOND d5- R3 G1 1
FIRST f1- B4 R3 8
SECOND b6+ G4 R3 2
FIRST d4+ B3 R4 8
SECOND a5+ R3 R4 1
FIRST c2+ R4 Y2 8
SECOND d5+ R4 G1 1
FIRST a6- G2 G1 7
SECOND c6- G3 Y2 2
FIRST f2- G3 R3 7
SECOND e4+ Y2 Y1 1
FIRST f1+ R3 Y3 7
SECOND e5- Y1 G2 1
FIRST f2+ R3 Y1 7
SECOND a2+ G3 G4 1
FIRST b2- Y3 B2 7
SECOND a2- G2 B1 1
FIRST a1+ Y2 R2 7
SECOND b2+ B1 B1 1
FIRST c2- Y1 B1 7
SECOND a3+ B1 B4 1
FIRST b1- B2 Y1 6
SECOND a3- B4 B2 1
FIRST f4- R2 G3 5
SECOND a4+ B2 R4 1
FIRST f3- G3 G1 6
SECOND a5- R4 Y1 0
FIRST c1+ B1 B2 5
SECOND e5+ Y1 Y4 0
FIRST c1- G1 X0 5
SECOND e6- Y4 X0 0
FIRST b1+ Y1 X0 4
SECOND d6- G1 X0 0
FIRST d6+ G1 X0 3
SECOND f4+ G1 X0 0
FIRST f6- B2 X0 2
SECOND f5- G2 X0 0
FIRST f5+ R2 X0 3
SECOND e6+ G4 X0 0
FINISH
SCOREFIRST 258
SCORESECOND 312
