[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B1 Y1 G2 B4 Y1 R3 G2 Y2 G3 R4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B4 R3 1838
SECOND d2- R3 B4 3
FIRST d1+ R3 G1 7
SECOND c2+ R4 Y3 2
FIRST a3+ Y1 Y2 7
SECOND b3- Y2 Y4 2
FIRST b3+ Y2 R2 8
SECOND b2+ Y3 B2 2
FIRST c3- G2 R2 8
SECOND b4- Y4 Y3 2
FIRST a3- B1 R1 8
SECOND b4+ Y3 B2 2
FIRST a2+ Y1 G4 8
SECOND d3+ B2 R2 2
FIRST b2- G1 G2 8
SECOND c2- R2 R1 2
FIRST a2- R1 Y4 8
SECOND d2+ R1 G4 2
FIRST a4+ G4 R4 8
SECOND d3- B4 G2 2
FIRST c1+ G2 G3 8
SECOND e3+ B2 Y4 2
FIRST c1- R2 Y3 8
SECOND c4- Y4 B1 1
FIRST a5- R4 G1 7
SECOND e4- B1 Y2 1
FIRST a1+ G1 B3 7
SECOND c4+ Y2 G1 2
FIRST a5+ Y4 B1 7
SECOND b1- G2 G3 1
FIRST b1+ R2 G4 7
SECOND d4+ G3 B1 1
FIRST b5- G4 B2 7
SECOND e2+ B1 B3 1
FIRST e1- G3 Y2 7
SECOND e4+ B3 B4 1
FIRST e1+ Y3 G3 7
SECOND e2- B4 R4 1
FIRST f1- B3 B3 6
SECOND d5- G4 G4 1
FIRST f1+ G3 R3 7
SECOND d5+ G2 B3 1
FIRST f2- R3 Y4 6
SECOND f3- B3 Y1 1
FIRST f2+ B3 R1 7
SECOND c5- Y1 Y1 1
FIRST a6- Y4 R4 6
SECOND c5+ Y1 G1 1
FIRST a6+ R4 B2 6
SECOND d6- G1 R1 1
FIRST c6- B1 Y3 5
SECOND e5- G4 R3 0
FIRST d6+ R1 B4 5
SECOND e5+ G3 R2 1
FIRST b5+ B4 X0 4
SECOND f5- G1 X0 0
FIRST f4- Y3 X0 3
SECOND b6- R1 X0 0
FIRST e6+ Y2 X0 3
SECOND b6+ R4 X0 0
FIRST f6- B2 X0 3
SECOND e6- R3 X0 0
FIRST f5+ B2 X0 2
SECOND f4+ R2 X0 0
FINISH
SCOREFIRST 266
SCORESECOND 322
