[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT G3 Y3 B2 G3 B2 B3 G3 G1 Y4 G2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G3 R1 1825
SECOND d3+ G1 Y2 2
FIRST e2+ G3 R3 7
SECOND d3- G3 B1 2
FIRST e3+ Y3 R2 8
SECOND d2+ G2 B1 2
FIRST d2- B2 B4 8
SECOND c2+ B3 R4 3
FIRST c2- R3 Y3 8
SECOND c3- B1 R4 2
FIRST e2- Y3 G1 8
SECOND d1+ B1 B2 2
FIRST b3+ R1 G1 8
SECOND e1- B2 R2 2
FIRST b4- G1 G4 8
SECOND b3- R4 R3 2
FIRST b4+ G1 R1 9
SECOND b2+ R2 Y1 2
FIRST b5- R1 Y2 9
SECOND b2- R4 G3 2
FIRST e1+ R2 Y1 8
SECOND a2+ R3 R2 2
FIRST a4+ Y1 B3 9
SECOND a3- R2 G4 2
FIRST e4- B3 G4 9
SECOND f2- G4 B3 2
FIRST a3+ B4 Y2 8
SECOND f2+ G3 Y2 2
FIRST f1- Y2 R4 10
SECOND a5- Y4 G1 3
FIRST f1+ Y2 R4 11
SECOND f3- G1 G4 2
FIRST b1+ G4 B3 16
SECOND c4- G4 Y3 1
FIRST b1- R4 Y1 8
SECOND a5+ Y2 G2 1
FIRST e4+ B3 B4 8
SECOND c4+ G2 B2 1
FIRST b5+ Y1 B1 8
SECOND a6- Y1 R3 1
FIRST b6- B1 Y4 7
SECOND a2- R3 Y1 1
FIRST a1+ G4 Y4 7
SECOND a6+ Y2 R1 1
FIRST c1- R4 R3 7
SECOND c1+ R1 B4 1
FIRST f4- R3 G2 7
SECOND d4+ B2 Y3 1
FIRST c5- B2 R2 7
SECOND d5- B3 B4 1
FIRST c5+ R2 G2 8
SECOND d5+ B4 R1 1
FIRST d6- Y4 B1 6
SECOND e5- B4 Y4 1
FIRST b6+ B1 X0 5
SECOND d6+ Y3 X0 1
FIRST c6- G2 X0 4
SECOND e6- Y1 X0 0
FIRST e6+ B4 X0 4
SECOND e5+ Y3 X0 0
FIRST f6- Y4 X0 4
SECOND f5- Y4 X0 0
FIRST f4+ G2 X0 3
SECOND f5+ R1 X0 0
FINISH
SCOREFIRST 238
SCORESECOND 316
