[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT R1 G3 Y1 R2 Y3 R4 G3 G3 Y1 G2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R2 G2 1988
SECOND d3+ R4 Y1 2
FIRST e2+ G2 R2 7
SECOND e2- G3 R3 2
FIRST f2- R2 Y2 7
SECOND d2+ G2 B3 2
FIRST d3- Y2 B4 7
SECOND d2- G3 Y3 2
FIRST c2+ Y3 B2 8
SECOND e3+ R3 B4 2
FIRST c3- G3 Y4 7
SECOND c2- Y1 B2 2
FIRST b2+ R1 B3 7
SECOND c1+ Y3 B1 2
FIRST f2+ B2 R1 7
SECOND c1- Y1 Y3 2
FIRST b2- Y1 Y1 8
SECOND b1+ Y3 Y4 2
FIRST b3+ B3 G4 8
SECOND a2+ Y4 R2 2
FIRST b3- Y1 Y3 8
SECOND e4- R2 R4 2
FIRST a3+ R1 R3 7
SECOND d4+ R4 B2 1
FIRST b4- Y3 B1 11
SECOND f3- B4 G4 3
FIRST a4+ R3 Y2 11
SECOND d1+ G4 B4 2
FIRST a3- B1 B1 9
SECOND a2- B3 Y2 1
FIRST f1+ Y2 R3 8
SECOND b1- Y2 G1 1
FIRST b4+ R3 G2 9
SECOND e1+ G1 Y4 2
FIRST f1- G2 B4 11
SECOND a1+ Y4 G1 1
FIRST e1- B4 R4 8
SECOND d5- B2 B1 1
FIRST b6+ Y4 B3 7
SECOND d5+ B1 G2 2
FIRST a5- B3 B2 11
SECOND e5- B2 R1 2
FIRST e4+ B2 Y4 8
SECOND e5+ B4 Y2 1
FIRST c6- G4 G1 7
SECOND c5+ B1 R1 1
FIRST b6- B4 R4 6
SECOND c4- R1 R2 2
FIRST c5- G1 G3 6
SECOND c4+ R2 B3 1
FIRST b5- G3 G1 6
SECOND d6- B3 R3 1
FIRST f5- Y4 G4 5
SECOND b5+ G2 G4 0
FIRST f5+ R4 X0 5
SECOND a5+ G1 X0 0
FIRST f4+ G4 X0 4
SECOND a6- G4 X0 0
FIRST a6+ R4 X0 3
SECOND f6- R1 X0 0
FIRST e6+ G1 X0 3
SECOND d6+ Y2 X0 0
FIRST e6- B1 X0 2
SECOND f4- R3 X0 0
FINISH
SCOREFIRST 246
SCORESECOND 284
