[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT B4 G4 G4 B2 Y1 G3 G4 Y1 G3 G2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B2 R4 1867
SECOND d2- G3 B4 3
FIRST f2+ G4 G3 7
SECOND c2+ G4 B1 3
FIRST c3- G4 R1 7
SECOND b3+ G3 B2 2
FIRST f3- R4 Y4 8
SECOND b3- G2 R1 2
FIRST c2- B4 B3 8
SECOND d3+ B4 R3 2
FIRST b2+ Y4 R4 8
SECOND d3- B1 R4 3
FIRST b2- R4 B2 7
SECOND d2+ B2 R3 3
FIRST b4- B3 R3 7
SECOND a2+ R1 Y3 2
FIRST b4+ G3 Y3 7
SECOND a3- R3 B4 2
FIRST d1+ Y3 R3 7
SECOND e2- B4 R2 2
FIRST e1- R3 G1 7
SECOND a3+ R4 B2 2
FIRST a4+ R3 G3 7
SECOND e2+ B2 Y3 2
FIRST b5- G3 Y1 7
SECOND b1+ R3 Y4 1
FIRST a2- Y1 Y4 8
SECOND c1- R2 Y2 1
FIRST c1+ Y4 Y2 7
SECOND a1+ Y3 B1 1
FIRST e3+ Y2 B1 7
SECOND e1+ B1 R4 1
FIRST e4- B2 B1 7
SECOND b1- R4 R1 1
FIRST f1- Y1 G1 7
SECOND a5- R1 R2 1
FIRST f1+ B1 R2 7
SECOND a5+ R2 B3 1
FIRST f2- G1 B4 6
SECOND d4+ B3 G2 1
FIRST e4+ R2 G2 7
SECOND c4- G2 G1 1
FIRST e5- G2 R1 6
SECOND c4+ G1 Y1 1
FIRST c5- B1 G2 6
SECOND d5- Y1 G4 1
FIRST c5+ R1 R2 6
SECOND b5+ G4 Y4 1
FIRST f4- G2 Y3 5
SECOND d5+ Y3 Y2 1
FIRST e5+ R2 Y2 5
SECOND d6- Y4 B3 0
FIRST e6- Y2 B3 5
SECOND d6+ Y1 G1 1
FIRST c6- G1 X0 4
SECOND b6- G1 X0 0
FIRST b6+ R1 X0 4
SECOND e6+ Y4 X0 0
FIRST f6- B4 X0 3
SECOND f5+ B3 X0 0
FIRST f5- Y3 X0 4
SECOND f4+ Y2 X0 0
FIRST a6+ B3 X0 3
SECOND a6- Y2 X0 0
FINISH
SCOREFIRST 274
SCORESECOND 244
