[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT G3 B4 Y1 B3 R4 B4 B1 B3 Y3 B1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B3 R3 1767
SECOND d3+ B4 B2 3
FIRST e2+ G3 R1 8
SECOND d3- B1 G3 2
FIRST e2- R3 G2 9
SECOND d2+ B2 R2 2
FIRST d2- G2 G2 8
SECOND e3+ B1 G3 2
FIRST d1+ G2 G1 8
SECOND e4- B3 Y2 2
FIRST f3- G1 B3 8
SECOND c2+ G3 Y3 2
FIRST e1+ B3 B4 8
SECOND c2- G3 R4 2
FIRST f2+ R1 R2 7
SECOND f2- R2 B3 2
FIRST e1- R2 B1 8
SECOND d4+ B3 B2 1
FIRST f4+ B4 R3 8
SECOND d5- B2 R4 1
FIRST f1- R3 Y2 7
SECOND f1+ R4 B4 1
FIRST c5+ Y2 G3 8
SECOND d5+ B4 G1 1
FIRST f5- B4 Y4 7
SECOND c3- G1 R3 1
FIRST d6- Y4 R4 8
SECOND c5- Y3 R1 1
FIRST e4+ G3 B2 8
SECOND c4+ Y2 R2 2
FIRST c6- B2 R1 7
SECOND c4- Y3 Y2 1
FIRST b3+ R1 Y4 8
SECOND b4+ Y2 G2 1
FIRST b3- Y1 R2 8
SECOND b2+ G2 Y1 1
FIRST a3+ B1 G4 7
SECOND b5- Y1 G2 1
FIRST d6+ Y4 Y1 7
SECOND c1+ G2 Y1 1
FIRST e6- R4 B2 6
SECOND b5+ Y1 G1 2
FIRST e5+ R4 B1 6
SECOND b2- G1 G4 1
FIRST e5- G4 Y3 6
SECOND a2+ G4 R3 1
FIRST a3- Y1 G4 6
SECOND e6+ R3 R1 1
FIRST f5+ G4 Y3 5
SECOND f6- R1 Y4 1
FIRST b4- B1 Y2 6
SECOND a5+ Y4 G4 0
FIRST b6+ B2 G1 5
SECOND b1+ G4 Y4 0
FIRST a4+ G1 X0 5
SECOND b6- Y4 X0 0
FIRST f4- Y3 X0 4
SECOND a1+ R4 X0 0
FIRST c1- Y2 X0 3
SECOND a2- R2 X0 0
FIRST a5- R2 X0 3
SECOND b1- R3 X0 0
FIRST a6+ Y3 X0 3
SECOND a6- R1 X0 0
FINISH
SCOREFIRST 246
SCORESECOND 354
