[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B3 G1 R2 Y1 Y3 B1 G3 B2 G1 R2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y1 R4 1773
SECOND d2- B1 Y4 3
FIRST d1+ G1 G1 7
SECOND c2+ B2 Y3 3
FIRST c3- R2 R4 8
SECOND d3+ Y4 R3 2
FIRST d3- R4 B3 7
SECOND e3+ Y3 Y2 2
FIRST d2+ G1 Y4 7
SECOND e4- Y2 B2 2
FIRST f3- B3 G4 8
SECOND c2- B2 R4 2
FIRST f2+ B3 B1 8
SECOND b3+ R3 Y3 2
FIRST e1- B1 G3 7
SECOND d4+ Y3 B3 2
FIRST b4- G3 B4 8
SECOND b2+ B3 G1 2
FIRST b3- Y3 B1 9
SECOND b4+ G1 B4 2
FIRST e2- B1 Y1 11
SECOND b2- B4 G3 2
FIRST e2+ Y1 B4 10
SECOND c4- G3 Y1 2
FIRST a2+ R4 Y4 11
SECOND d5- Y1 G4 2
FIRST a3- B4 R2 9
SECOND b5- G3 B1 2
FIRST a3+ G4 B2 9
SECOND b1+ B1 R2 2
FIRST a2- Y4 Y2 8
SECOND a4+ G1 Y2 2
FIRST c1+ R2 R3 8
SECOND c5+ Y2 G2 1
FIRST a1+ B4 G2 8
SECOND a5+ G4 Y1 1
FIRST b1- Y4 R1 12
SECOND a5- G2 G2 1
FIRST e1+ R1 G4 8
SECOND e4+ Y1 R4 2
FIRST c1- Y2 B2 9
SECOND c4+ G2 R1 1
FIRST c5- B2 R1 7
SECOND f1- R2 R3 1
FIRST f2- R1 R3 7
SECOND f1+ R4 B3 1
FIRST c6- G2 Y3 6
SECOND b5+ B3 R1 1
FIRST b6- R3 Y2 6
SECOND a6+ R2 B4 0
FIRST b6+ Y3 G3 5
SECOND a6- R1 G4 1
FIRST f6- Y2 G2 5
SECOND d5+ R4 Y4 0
FIRST e6+ B2 X0 5
SECOND f4- Y4 X0 0
FIRST f5+ G2 X0 4
SECOND e5- R3 X0 0
FIRST e5+ G3 X0 3
SECOND f5- G4 X0 0
FIRST f4+ G4 X0 3
SECOND d6- R1 X0 0
FIRST e6- R3 X0 3
SECOND d6+ B4 X0 0
FINISH
SCOREFIRST 260
SCORESECOND 282
