[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT Y3 Y4 R4 G1 G4 G4 R3 B2 B1 R4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G1 Y2 1760
SECOND d3+ G4 B3 3
FIRST d3- Y4 R2 8
SECOND d2- R3 Y1 2
FIRST d2+ G4 B1 8
SECOND c2+ R4 R1 2
FIRST d1+ Y3 Y2 8
SECOND c2- R1 G1 2
FIRST e2- R4 R2 8
SECOND e3+ G1 R1 2
FIRST e4- B1 Y3 8
SECOND c3- R1 B3 2
FIRST e1- Y3 G2 8
SECOND e1+ Y1 R4 2
FIRST f4+ R2 B3 8
SECOND b3+ R4 B4 2
FIRST f5- Y2 G3 8
SECOND d4+ B2 G1 2
FIRST e5+ G2 Y1 10
SECOND e2+ G1 G3 2
FIRST e4+ Y1 G3 11
SECOND f2- G3 B2 2
FIRST f1+ B3 R3 10
SECOND d5- B1 Y4 2
FIRST e6- Y2 B2 9
SECOND c5+ B3 R2 2
FIRST d6+ R2 B4 9
SECOND b3- R2 R3 2
FIRST d6- B2 G1 8
SECOND b2+ R3 G4 2
FIRST f4- G1 R1 8
SECOND d5+ B3 R2 2
FIRST e5- R1 R1 8
SECOND b4- R2 G3 1
FIRST f3- R1 B1 8
SECOND c5- B4 B4 1
FIRST f2+ B1 G4 8
SECOND c4+ B2 G2 1
FIRST c6- G3 R3 7
SECOND c4- B4 Y2 1
FIRST b6+ R3 Y1 7
SECOND f1- Y4 Y3 1
FIRST b6- G3 Y4 7
SECOND b5+ G2 Y2 1
FIRST a6+ R3 B2 7
SECOND b5- G4 Y3 1
FIRST e6+ B2 B4 6
SECOND b4+ G3 B1 1
FIRST c1+ Y1 R4 5
SECOND c1- Y2 Y4 1
FIRST a5+ B4 G2 5
SECOND b1+ Y3 G2 1
FIRST f5+ G2 B3 5
SECOND b2- Y2 Y1 0
FIRST a5- R4 X0 5
SECOND a2+ Y3 X0 0
FIRST a6- B3 X0 4
SECOND a3- Y4 X0 0
FIRST a3+ G4 X0 3
SECOND a2- Y1 X0 0
FIRST a4+ Y4 X0 3
SECOND f6- B1 X0 0
FIRST a1+ B4 X0 2
SECOND b1- G2 X0 0
FINISH
SCOREFIRST 258
SCORESECOND 282
