[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT G3 B3 R4 B4 Y3 B3 R1 Y2 B2 B2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B4 R2 1722
SECOND d3+ B3 Y1 2
FIRST e3+ R4 R2 7
SECOND d3- B2 B3 2
FIRST d2+ R2 G4 8
SECOND e2+ B2 B1 2
FIRST e2- R2 G1 9
SECOND f2- B3 G4 3
FIRST f2+ G3 Y1 9
SECOND f1+ B1 G2 2
FIRST f1- Y1 Y2 8
SECOND d2- R1 R3 2
FIRST f3- G4 G2 8
SECOND c2+ R3 G3 2
FIRST e1+ G2 G3 9
SECOND e1- G4 Y1 2
FIRST c3- Y3 B2 8
SECOND d1+ G2 R3 2
FIRST c2- B3 R3 8
SECOND b3+ Y2 G1 2
FIRST b2+ G3 Y1 9
SECOND b3- Y1 B4 2
FIRST b2- R3 Y4 9
SECOND b4- Y1 Y4 2
FIRST a3+ G1 Y4 8
SECOND b4+ Y4 G1 2
FIRST e4- Y4 G4 8
SECOND a3- G3 Y3 1
FIRST e4+ Y4 B2 8
SECOND c4- Y3 Y3 1
FIRST e5- G4 B3 7
SECOND b5- Y3 R2 1
FIRST a2+ B3 R1 7
SECOND d5+ G1 R4 1
FIRST d6- R1 B1 7
SECOND e5+ G1 B1 1
FIRST d6+ Y1 B4 7
SECOND b1+ R2 G3 1
FIRST e6- B1 G2 7
SECOND d5- G3 Y2 1
FIRST d4+ B4 Y2 6
SECOND c4+ Y2 B4 1
FIRST c1- B2 Y3 6
SECOND c1+ B4 G2 1
FIRST a2- Y3 R3 6
SECOND c5+ G2 Y4 1
FIRST a1+ R3 G1 7
SECOND c5- Y4 R2 1
FIRST e6+ G1 B1 6
SECOND b1- R4 R1 1
FIRST f5- B1 R1 6
SECOND f4+ B4 R4 1
FIRST f5+ R1 R4 6
SECOND f4- B1 G4 0
FIRST c6- B2 X0 5
SECOND f6- R3 X0 0
FIRST b6+ Y2 X0 4
SECOND a4+ R2 X0 0
FIRST a5- Y2 X0 3
SECOND a5+ R1 X0 0
FIRST b6- G2 X0 3
SECOND a6- R4 X0 0
FIRST a6+ R4 X0 3
SECOND b5+ G4 X0 0
FINISH
SCOREFIRST 280
SCORESECOND 244
