[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT R4 B1 Y4 R2 B1 R1 G3 R3 R4 B3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R2 G1 1938
SECOND d3+ R1 Y2 2
FIRST d3- B1 B3 7
SECOND e3+ R3 B1 2
FIRST d2+ B1 B3 8
SECOND e4- R4 Y1 2
FIRST e2- G1 R3 8
SECOND d2- B3 Y1 2
FIRST d4+ Y4 B4 8
SECOND c2+ B1 G2 2
FIRST f3- B3 Y1 7
SECOND d5- Y2 B2 2
FIRST f2+ R3 G4 7
SECOND c2- B2 Y4 2
FIRST f2- B3 R4 8
SECOND c5+ Y1 G1 2
FIRST e1+ Y1 Y1 7
SECOND c5- Y4 B3 2
FIRST e1- Y1 Y4 7
SECOND c3- B3 R1 2
FIRST b5+ G4 B2 8
SECOND c4+ Y1 Y3 2
FIRST b5- R4 R3 7
SECOND c4- Y3 G3 2
FIRST b4+ R4 Y3 8
SECOND e4+ R1 Y4 2
FIRST a5+ B4 G2 7
SECOND d5+ Y4 Y3 2
FIRST f1+ Y3 Y3 8
SECOND e5- Y3 R2 1
FIRST a5- Y4 G3 7
SECOND f4- R2 R2 1
FIRST f1- R3 Y2 8
SECOND e2+ R2 B1 1
FIRST f4+ B2 G2 7
SECOND b3+ B1 Y2 1
FIRST b2+ G2 B2 7
SECOND e5+ Y2 B2 1
FIRST f5- G2 G3 8
SECOND b4- B2 G4 1
FIRST b2- B2 Y2 7
SECOND b3- G3 B4 1
FIRST f5+ Y2 R1 7
SECOND d1+ B4 R4 1
FIRST f6- Y2 G4 7
SECOND a3+ G2 G1 1
FIRST a4+ G4 R1 7
SECOND a3- G1 G2 1
FIRST a2+ R1 G1 7
SECOND b6- G3 R3 1
FIRST a2- G1 B4 6
SECOND b6+ G4 G4 1
FIRST a6- B4 R2 6
SECOND c6- G2 B4 1
FIRST e6+ R2 X0 5
SECOND c1+ B4 X0 0
FIRST a6+ Y3 X0 4
SECOND e6- R4 X0 0
FIRST a1+ R1 X0 4
SECOND d6+ R3 X0 0
FIRST d6- G3 X0 3
SECOND b1+ G1 X0 0
FIRST c1- G3 X0 3
SECOND b1- G4 X0 0
FINISH
SCOREFIRST 248
SCORESECOND 312
