[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT G2 B1 R2 Y1 R1 R3 Y3 B1 Y4 Y2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y1 Y4 1944
SECOND d3+ Y3 Y1 2
FIRST e3+ B1 B1 7
SECOND d3- Y4 R4 2
FIRST f3- R1 G4 7
SECOND d2+ Y2 B3 2
FIRST d2- R2 Y2 7
SECOND e2- Y1 G3 2
FIRST e2+ B1 R2 8
SECOND c2+ R3 G2 2
FIRST d1+ G2 Y3 8
SECOND c2- R4 G4 2
FIRST c1+ G4 R4 8
SECOND c1- G3 R1 2
FIRST b2+ Y4 G3 8
SECOND c3- R1 R4 2
FIRST b2- R4 Y1 7
SECOND b3+ R4 Y1 2
FIRST e4- Y1 G2 7
SECOND e1+ Y1 B2 2
FIRST e1- G2 R1 8
SECOND b1+ G2 G1 1
FIRST e4+ R1 G3 8
SECOND b1- G4 R3 1
FIRST c5+ Y2 Y2 8
SECOND b3- R3 Y3 2
FIRST c6- R2 B3 8
SECOND f1- Y3 G1 1
FIRST a3+ G3 B4 7
SECOND a1+ G1 B1 2
FIRST a2+ B4 G1 7
SECOND a2- G1 B3 1
FIRST d4+ G1 B2 7
SECOND a3- B1 B2 1
FIRST f1+ B3 G4 7
SECOND f2- B2 B4 1
FIRST f2+ Y2 B4 7
SECOND a4+ B3 R1 1
FIRST a5- G3 Y3 7
SECOND b4- R1 G4 1
FIRST b6+ B2 B3 7
SECOND d5- G4 Y2 1
FIRST a5+ Y3 Y4 6
SECOND b5- Y2 Y4 1
FIRST a6- B3 R4 6
SECOND b4+ Y4 R2 1
FIRST a6+ Y3 R3 6
SECOND e5- R2 G3 1
FIRST b6- R3 G1 6
SECOND d5+ G3 G2 1
FIRST f4- G1 R3 5
SECOND d6- G2 R2 0
FIRST b5+ R3 B2 5
SECOND e5+ R2 B4 1
FIRST c5- B2 X0 4
SECOND c4+ B1 X0 0
FIRST c4- G4 X0 4
SECOND d6+ B3 X0 0
FIRST f6- Y4 X0 3
SECOND e6- B4 X0 0
FIRST e6+ R4 X0 3
SECOND f4+ B2 X0 0
FIRST f5+ B4 X0 2
SECOND f5- B4 X0 0
FINISH
SCOREFIRST 272
SCORESECOND 224
