[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT G1 Y3 G4 Y4 B4 B2 R3 G3 R2 Y2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y4 B4 1927
SECOND d3+ Y2 Y2 4
FIRST e3+ G4 G2 13
SECOND e2+ Y2 R4 4
FIRST f3- B4 R1 7
SECOND e4- G3 Y1 2
FIRST f2+ B4 R3 6
SECOND d3- Y1 G4 2
FIRST e2- G2 B2 7
SECOND d4+ G4 B4 2
FIRST e4+ R3 Y3 7
SECOND f2- B2 R1 2
FIRST d2+ R1 R2 7
SECOND f1+ B4 B3 2
FIRST f4- Y3 Y1 7
SECOND f1- B3 Y4 2
FIRST e5- Y3 B1 7
SECOND d2- R3 B2 2
FIRST e1+ R2 B1 7
SECOND c2+ R2 G4 2
FIRST e1- B2 Y2 7
SECOND c2- R4 Y4 1
FIRST d1+ Y2 R2 8
SECOND c3- R1 R2 2
FIRST b3+ Y1 B2 8
SECOND b2+ R2 G2 2
FIRST b3- G1 G1 8
SECOND d5- G2 R3 2
FIRST a3+ B1 R4 7
SECOND b2- R3 B1 1
FIRST a3- G1 G2 7
SECOND c5+ G4 G1 1
FIRST a2+ B1 R1 7
SECOND d5+ G1 G3 1
FIRST a2- R1 G3 7
SECOND c5- G3 Y1 1
FIRST e5+ G3 G3 7
SECOND b4- Y4 B3 1
FIRST f4+ G3 R3 7
SECOND b4+ Y1 Y3 1
FIRST f5- R3 B3 6
SECOND c4- Y4 G1 1
FIRST e6- B3 Y4 6
SECOND c4+ G1 R4 1
FIRST c6- R4 B3 6
SECOND b1+ R4 B1 1
FIRST f5+ B3 R4 6
SECOND b5- Y3 G2 1
FIRST b6+ Y4 G4 5
SECOND b5+ G2 B4 1
FIRST b6- R4 Y1 5
SECOND d6+ B2 R1 1
FIRST a1+ Y1 Y2 5
SECOND c1- R1 Y3 0
FIRST a6+ G4 X0 5
SECOND a4+ Y3 X0 0
FIRST d6- R2 X0 4
SECOND e6+ B1 X0 0
FIRST c1+ Y2 X0 3
SECOND f6- B4 X0 0
FIRST a5- G2 X0 3
SECOND a5+ B1 X0 0
FIRST b1- B2 X0 3
SECOND a6- B3 X0 0
FINISH
SCOREFIRST 258
SCORESECOND 292
