[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT Y2 Y4 R1 B4 Y1 G1 G4 Y2 R4 G2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B4 G2 1652
SECOND d2- G1 Y1 3
FIRST d2+ R1 Y4 7
SECOND c2+ G4 R3 3
FIRST c3- Y4 G3 8
SECOND c2- G2 R1 3
FIRST d1+ Y1 R4 8
SECOND b3+ Y2 R2 3
FIRST b2+ Y2 G1 8
SECOND b3- Y1 B2 3
FIRST e1- G1 Y1 9
SECOND d3- R4 G3 3
FIRST e1+ Y1 Y2 8
SECOND c1+ G3 G4 2
FIRST d3+ R4 B3 7
SECOND c1- G4 G3 2
FIRST e2+ Y4 G2 7
SECOND b1+ G3 R4 1
FIRST b2- B3 R3 7
SECOND e2- R3 B2 1
FIRST a2+ R3 G4 8
SECOND a3- R1 Y1 1
FIRST a2- G3 B1 8
SECOND b4- Y1 Y2 2
FIRST a3+ B1 B1 8
SECOND b4+ Y2 Y3 1
FIRST f1- B1 R4 8
SECOND c4- Y3 Y3 1
FIRST e3+ G4 B2 7
SECOND b5- Y3 B1 2
FIRST e4- R4 G3 7
SECOND d4+ R2 R3 2
FIRST c4+ G3 Y3 7
SECOND d5- R4 G2 1
FIRST a1+ Y3 B2 7
SECOND b1- G2 B4 1
FIRST a6+ G2 R3 7
SECOND c5+ R3 B3 1
FIRST c5- R3 Y3 7
SECOND f1+ B2 B4 1
FIRST c6- Y3 R2 7
SECOND f2- B1 Y4 1
FIRST b6- Y2 R1 6
SECOND b5+ Y4 G1 1
FIRST b6+ B2 B3 6
SECOND f2+ B2 R2 1
FIRST f3- R2 B4 6
SECOND d5+ R2 B1 1
FIRST e4+ B4 G1 5
SECOND e5- B3 Y4 0
FIRST a6- G2 G4 5
SECOND a4+ Y4 B3 1
FIRST f4- G4 R2 5
SECOND e5+ B4 R1 0
FIRST a5+ B2 X0 4
SECOND d6- R1 X0 0
FIRST a5- R2 X0 4
SECOND e6- B1 X0 0
FIRST d6+ G1 X0 5
SECOND f5- B3 X0 0
FIRST e6+ R1 X0 4
SECOND f5+ B4 X0 0
FIRST f4+ B3 X0 3
SECOND f6- G1 X0 0
FINISH
SCOREFIRST 254
SCORESECOND 328
