[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT R2 B1 G1 R2 B2 R1 R3 Y3 Y1 Y3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R2 R3 1689
SECOND d3+ R1 G3 4
FIRST e2+ R2 R4 12
SECOND d3- R3 B4 3
FIRST e3+ B2 R1 9
SECOND e4- B4 G4 2
FIRST e4+ R4 R3 7
SECOND b3- Y3 B3 6
FIRST b3+ R3 B2 12
SECOND d4+ B3 G4 2
FIRST a3+ R3 G2 9
SECOND b2+ Y1 G3 2
FIRST b2- B1 Y1 8
SECOND c2- Y3 B3 2
FIRST e2- B2 Y4 7
SECOND f3- B3 R4 2
FIRST a2+ G1 G4 8
SECOND d2+ R4 B4 2
FIRST f2- G2 G4 7
SECOND d5- B4 G2 2
FIRST c5+ G4 B4 7
SECOND a2- G3 B2 2
FIRST c6- Y4 G3 7
SECOND d5+ B2 R1 2
FIRST c5- B4 B3 7
SECOND d2- R1 R4 2
FIRST b5+ G4 G3 7
SECOND c2+ R4 Y4 1
FIRST b1+ R1 Y1 7
SECOND c1+ Y4 B2 2
FIRST a3- Y1 Y3 7
SECOND e5- B2 Y4 1
FIRST b1- Y1 Y2 7
SECOND c1- Y4 Y1 1
FIRST e1+ Y2 R1 7
SECOND a1+ G4 R2 1
FIRST b4- G3 B1 7
SECOND c3- R2 G1 1
FIRST b4+ B3 Y2 6
SECOND b5- G2 R3 1
FIRST f1- Y2 B4 7
SECOND d1+ R3 Y2 1
FIRST c4- G3 B3 6
SECOND a5+ G4 Y2 1
FIRST a4+ Y3 R4 6
SECOND b6- G3 B1 1
FIRST a5- B3 G2 6
SECOND e5+ B1 G2 1
FIRST f1+ G2 Y4 5
SECOND a6- G1 B1 1
FIRST b6+ B4 Y3 5
SECOND a6+ G2 G1 0
FIRST c4+ Y3 G1 5
SECOND d6- B1 R2 0
FIRST f4- R4 X0 5
SECOND e1- R2 X0 0
FIRST d6+ R1 X0 4
SECOND f2+ G1 X0 0
FIRST e6- G1 X0 4
SECOND f4+ Y1 X0 0
FIRST e6+ B1 X0 3
SECOND f5- Y2 X0 0
FIRST f6- Y4 X0 2
SECOND f5+ Y2 X0 0
FINISH
SCOREFIRST 300
SCORESECOND 324
