[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B4 Y4 G3 R1 R4 B3 G4 B1 Y2 G3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R1 B1 1744
SECOND d2- B3 Y2 3
FIRST d2+ G3 G2 7
SECOND c2+ B1 G1 3
FIRST d3+ B1 G4 8
SECOND d3- G4 R1 2
FIRST f6- G4 G2 8
SECOND e2- G1 G2 2
FIRST e6+ Y4 B3 8
SECOND e2+ G3 B3 3
FIRST d1+ B3 R1 7
SECOND e1+ G2 B2 3
FIRST c2- R1 B4 8
SECOND c3- B3 Y3 2
FIRST f5+ R4 B2 7
SECOND b3+ B2 Y3 2
FIRST e6- B4 Y2 7
SECOND f5- R1 G3 2
FIRST e1- Y2 Y3 8
SECOND f1- G3 R3 2
FIRST d6+ B4 B2 7
SECOND e5+ R3 B4 2
FIRST b4- G2 R4 7
SECOND b3- B4 Y4 1
FIRST d6- R4 R2 8
SECOND a3+ Y2 R1 2
FIRST b4+ B2 B3 9
SECOND e5- R1 B4 2
FIRST c4- B2 Y2 8
SECOND b2+ B4 R3 2
FIRST b5- R2 Y1 7
SECOND d5+ R3 R2 1
FIRST a5+ G2 B1 8
SECOND d5- R2 R4 1
FIRST a4+ Y2 R3 7
SECOND c5+ R4 Y4 1
FIRST e4+ B1 G1 7
SECOND a3- Y3 G1 1
FIRST f4- Y1 Y1 6
SECOND f2- G1 Y1 1
FIRST f4+ G1 Y4 7
SECOND a2+ Y2 R2 1
FIRST e4- Y1 G1 7
SECOND c5- R2 G4 1
FIRST e3+ G1 Y3 7
SECOND f1+ G4 B1 1
FIRST b2- Y4 R3 7
SECOND a2- Y3 B2 1
FIRST a1+ B3 G3 6
SECOND b1+ Y1 G2 1
FIRST b1- R3 G4 6
SECOND f2+ G2 Y1 1
FIRST c6- G4 R2 5
SECOND c1- Y4 R4 1
FIRST a5- R2 X0 5
SECOND b5+ R4 X0 1
FIRST c1+ R3 X0 5
SECOND c4+ B1 X0 0
FIRST a6- Y3 X0 4
SECOND d4+ Y4 X0 0
FIRST a6+ Y3 X0 4
SECOND b6- Y1 X0 0
FIRST b6+ G3 X0 3
SECOND f3- B2 X0 0
FINISH
SCOREFIRST 250
SCORESECOND 350
