[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT R4 B2 G4 G2 R3 R3 B4 G4 R4 R4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G2 B4 1684
SECOND d3+ G4 R3 3
FIRST d3- R4 B4 8
SECOND d2+ R3 Y2 3
FIRST e2+ B2 G1 8
SECOND d2- R4 B1 3
FIRST d1+ G4 Y3 8
SECOND c2+ R3 G3 2
FIRST e1- B4 G3 7
SECOND c2- R4 G1 2
FIRST e1+ B4 Y3 8
SECOND e2- B1 G1 2
FIRST c3- Y3 B1 7
SECOND f2- B4 G2 2
FIRST b3+ Y3 R4 7
SECOND b3- Y2 G2 2
FIRST f1- R4 Y2 7
SECOND e3+ G3 Y1 2
FIRST b4- G3 Y2 7
SECOND e4- G1 B4 2
FIRST b4+ R3 G1 8
SECOND f2+ B4 R1 2
FIRST d4+ B1 R1 8
SECOND b2+ R1 Y4 1
FIRST b2- G1 G3 7
SECOND e4+ G2 R2 2
FIRST b5- G3 R2 8
SECOND c1+ R2 B3 1
FIRST c1- Y2 R3 7
SECOND f1+ B3 G3 1
FIRST a4+ R3 B2 7
SECOND e5- G1 Y3 1
FIRST a2+ R1 R1 7
SECOND d5+ G2 Y1 1
FIRST a3+ R2 B3 7
SECOND d5- G3 R1 1
FIRST a5- B3 B1 7
SECOND a3- R1 Y2 1
FIRST a2- G1 Y1 7
SECOND b1+ Y4 G4 1
FIRST a1+ R1 Y1 6
SECOND c5+ G4 B2 1
FIRST b1- B1 G2 6
SECOND f3- B2 B3 1
FIRST d6- Y2 Y4 8
SECOND d6+ Y1 Y3 1
FIRST e6- Y1 Y4 6
SECOND e5+ Y3 R2 1
FIRST f4- B2 G4 6
SECOND f5- Y1 B2 1
FIRST c6- Y4 B3 5
SECOND f4+ Y3 B1 0
FIRST a5+ B3 R2 5
SECOND e6+ Y2 Y4 0
FIRST f6- R2 X0 5
SECOND f5+ Y4 X0 0
FIRST b6+ G4 X0 4
SECOND a6- B2 X0 0
FIRST c5- Y4 X0 3
SECOND a6+ B3 X0 0
FIRST b6- G2 X0 3
SECOND c4- R2 X0 0
FIRST b5+ Y1 X0 2
SECOND c4+ B1 X0 0
FINISH
SCOREFIRST 230
SCORESECOND 322
