[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT B2 G3 Y1 B3 B1 R2 Y2 B4 Y3 Y1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B3 G2 1754
SECOND d3+ B4 G1 3
FIRST e3+ G3 G4 8
SECOND e4- G1 G1 3
FIRST d4+ Y1 Y3 7
SECOND f3- G1 Y2 3
FIRST f2+ B1 Y4 8
SECOND d5- Y2 B3 3
FIRST c5+ B2 Y2 8
SECOND d3- B3 G2 2
FIRST d5+ G2 Y4 7
SECOND e4+ G2 G4 2
FIRST e5- Y2 R1 8
SECOND f4- G4 R1 2
FIRST f4+ Y4 R2 7
SECOND e5+ Y3 Y1 2
FIRST d6- R2 G1 7
SECOND f5- Y1 G3 2
FIRST f2- R1 B1 7
SECOND e6- Y2 G2 2
FIRST f1+ G1 G3 7
SECOND d6+ Y1 R3 2
FIRST f1- B1 B4 7
SECOND e2+ R2 G3 1
FIRST d2+ G3 B4 8
SECOND e2- R1 R2 2
FIRST d2- Y3 G2 8
SECOND e1+ R3 R4 1
FIRST c6- G2 B3 8
SECOND e1- R2 R4 2
FIRST d1+ B3 Y3 8
SECOND b6+ G3 B2 1
FIRST c2+ Y3 B2 7
SECOND b6- G2 B1 1
FIRST c5- B2 G1 7
SECOND b5+ G3 Y4 1
FIRST f5+ G1 Y2 7
SECOND e6+ Y4 G4 1
FIRST c4+ Y2 R2 8
SECOND b5- G4 B1 1
FIRST c4- R2 R1 7
SECOND b4+ R4 B2 1
FIRST b4- G4 R3 7
SECOND a2- R4 R1 1
FIRST c2- R3 R4 6
SECOND b2+ R1 R3 1
FIRST a2+ Y4 R3 6
SECOND b3- R3 B4 1
FIRST c3- R3 R4 5
SECOND a1+ B2 Y3 1
FIRST f6- B4 G4 5
SECOND a3- Y3 B3 1
FIRST a4+ B4 Y1 5
SECOND a5- B1 Y4 1
FIRST a5+ R4 X0 4
SECOND a3+ Y4 X0 0
FIRST b3+ G4 X0 4
SECOND b1- B1 X0 0
FIRST a6- R4 X0 3
SECOND b1+ B2 X0 0
FIRST b2- R1 X0 3
SECOND c1- B4 X0 0
FIRST c1+ Y1 X0 2
SECOND a6+ B3 X0 0
FINISH
SCOREFIRST 272
SCORESECOND 216
