[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT Y2 R2 G1 R1 B4 B2 Y1 R4 B1 Y3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R1 G2 1658
SECOND d3+ R4 R1 3
FIRST e3+ G1 B3 8
SECOND d3- R1 B1 3
FIRST b4+ R2 Y3 10
SECOND b3- B2 Y3 3
FIRST a3+ G2 Y2 8
SECOND b3+ B1 B2 3
FIRST b5- Y2 Y4 9
SECOND c3- B2 R2 2
FIRST b2+ Y2 R4 8
SECOND c2+ B1 Y2 2
FIRST c5- B3 R2 7
SECOND d2+ R2 G1 2
FIRST c4- R2 G4 7
SECOND a3- G1 R2 2
FIRST c4+ Y3 G2 7
SECOND e2+ R2 G4 2
FIRST e2- G2 G3 7
SECOND a2+ G4 Y2 2
FIRST b5+ G3 R4 8
SECOND b2- Y1 G4 2
FIRST a2- Y4 R3 8
SECOND b1+ Y3 G1 2
FIRST a1+ R4 R3 7
SECOND c1- Y2 B4 2
FIRST b1- R4 B2 7
SECOND b4- B4 R3 1
FIRST b6- R3 G4 7
SECOND d2- R3 G2 1
FIRST c5+ R3 Y4 7
SECOND c2- Y3 G3 1
FIRST a5+ B2 Y3 7
SECOND c1+ Y2 Y4 1
FIRST a6+ Y3 B4 7
SECOND e1+ G4 G2 1
FIRST e1- B4 R1 7
SECOND f1- G1 Y4 1
FIRST d1+ G4 Y1 7
SECOND f1+ G2 B3 1
FIRST e4- R1 Y1 6
SECOND a4+ B3 B3 1
FIRST e4+ Y1 G3 6
SECOND a5- B3 R3 1
FIRST c6- G3 B2 6
SECOND f2- R3 R1 1
FIRST d4+ Y1 B3 6
SECOND f2+ R1 B4 1
FIRST b6+ B3 G1 5
SECOND a6- B4 R4 1
FIRST f3- G1 B1 5
SECOND d5- Y4 Y1 1
FIRST e5- B1 B1 6
SECOND d5+ Y4 G3 0
FIRST f4- B1 X0 5
SECOND d6- Y1 X0 0
FIRST f6- G4 X0 4
SECOND e6+ G3 X0 0
FIRST f5+ Y4 X0 4
SECOND e6- G2 X0 0
FIRST f5- B4 X0 3
SECOND e5+ G3 X0 0
FIRST d6+ B2 X0 2
SECOND f4+ R4 X0 0
FINISH
SCOREFIRST 254
SCORESECOND 270
