[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B2 Y3 Y3 G4 R2 G2 B4 Y4 G3 B3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G4 G3 1637
SECOND d3+ G2 Y3 3
FIRST d3- B2 G1 6
SECOND e3+ G3 Y4 2
FIRST d2+ R2 Y4 6
SECOND b3- B4 B2 2
FIRST b3+ Y4 G3 6
SECOND b2+ B3 R4 2
FIRST c2- G3 G2 7
SECOND b2- B2 R2 2
FIRST e4- Y3 Y1 7
SECOND b4- Y3 Y3 2
FIRST d2- G2 G2 7
SECOND b4+ Y4 G3 2
FIRST e2- G2 B3 7
SECOND e2+ G3 Y1 2
FIRST c1+ Y3 B4 7
SECOND b5- Y3 G1 2
FIRST e4+ B3 R1 7
SECOND e1+ G1 B4 2
FIRST c1- G3 R3 7
SECOND a4+ Y4 G2 2
FIRST b1+ R3 G4 7
SECOND f2- G2 G1 2
FIRST c3- B4 B1 7
SECOND f3- G1 Y1 2
FIRST e1- B1 B3 7
SECOND a5+ Y1 G4 1
FIRST b1- B3 Y1 7
SECOND f2+ G4 R1 1
FIRST d1+ Y1 Y4 7
SECOND a5- Y1 Y2 1
FIRST a3+ G4 B4 7
SECOND c4- Y2 R4 1
FIRST a3- Y4 R3 7
SECOND a2+ B4 B2 1
FIRST a1+ R3 R2 7
SECOND a2- B2 R3 1
FIRST c2+ B4 R1 8
SECOND a6- R4 R2 1
FIRST f1+ R2 B2 7
SECOND a6+ R2 R3 1
FIRST f1- B2 G1 6
SECOND b6- R1 R1 1
FIRST b5+ G1 B1 6
SECOND b6+ R4 B1 1
FIRST c5- Y1 Y2 5
SECOND c6- R3 B1 1
FIRST c4+ R1 R4 5
SECOND c5+ R2 Y2 0
FIRST d5- Y2 Y2 5
SECOND d4+ Y2 B3 0
FIRST d5+ Y2 R4 5
SECOND e5- B1 G4 1
FIRST e5+ R1 X0 5
SECOND f4- B1 X0 0
FIRST f5- G1 X0 4
SECOND f4+ B3 X0 0
FIRST e6- B1 X0 3
SECOND f5+ G4 X0 0
FIRST f6- R4 X0 3
SECOND e6+ R3 X0 0
FIRST d6+ R4 X0 2
SECOND d6- R1 X0 0
FINISH
SCOREFIRST 226
SCORESECOND 274
