[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B3 R1 B3 Y3 G2 B3 B4 Y1 Y2 B4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y3 G3 1804
SECOND d3+ Y1 Y3 3
FIRST e2+ B3 B1 12
SECOND d3- Y2 Y1 4
FIRST f2- B3 Y2 8
SECOND d2+ Y3 G1 3
FIRST e2- G3 Y2 8
SECOND d2- Y1 G4 2
FIRST d1+ R1 B4 8
SECOND f2+ B4 R2 2
FIRST c2+ B1 B4 8
SECOND f3- B3 R3 2
FIRST a3+ G2 R3 8
SECOND e3+ B4 B2 2
FIRST e1+ R3 Y4 13
SECOND e4- B2 R4 3
FIRST a3- Y2 G1 9
SECOND e1- R2 R2 2
FIRST a2+ Y2 G2 8
SECOND f1- R4 G4 2
FIRST f1+ Y4 R3 8
SECOND b3- G1 R1 3
FIRST e4+ G2 R1 7
SECOND b3+ G4 Y2 2
FIRST c2- G1 Y3 7
SECOND b2+ G4 B1 2
FIRST c1+ R1 Y4 11
SECOND d4+ B1 R4 2
FIRST c3- B4 B1 9
SECOND b2- Y2 G2 2
FIRST c1- B1 Y1 8
SECOND b4- G2 G2 2
FIRST d5- Y1 G4 10
SECOND b4+ G2 Y3 2
FIRST d5+ B4 R4 8
SECOND b1+ Y3 B2 1
FIRST d6- R4 R4 14
SECOND d6+ R3 Y4 2
FIRST e6- Y3 G4 13
SECOND a2- Y4 R3 2
FIRST e5+ R3 R2 13
SECOND e5- R1 B1 1
FIRST a1+ G4 Y1 8
SECOND f5- R2 R1 1
FIRST b1- G4 B2 7
SECOND f4+ R4 G3 1
FIRST c4- R2 G1 7
SECOND b5- G3 Y4 1
FIRST a4+ B2 B2 6
SECOND f4- R3 G1 1
FIRST c4+ B2 R2 5
SECOND b5+ G1 B3 0
FIRST a5- R2 G3 5
SECOND f5+ R1 G3 1
FIRST e6+ G3 X0 5
SECOND c5- G3 X0 0
FIRST f6- G1 X0 4
SECOND c5+ Y4 X0 0
FIRST c6- R4 X0 3
SECOND a5+ B1 X0 0
FIRST b6+ Y4 X0 3
SECOND a6- B2 X0 0
FIRST b6- Y1 X0 3
SECOND a6+ B3 X0 0
FINISH
SCOREFIRST 204
SCORESECOND 296
