[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT G1 R2 B2 Y3 Y4 B1 Y3 B2 G2 R4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y3 Y3 1915
SECOND d3+ Y3 Y4 4
FIRST d3- Y3 Y1 14
SECOND d2+ Y4 G4 3
FIRST a1+ G1 Y1 10
SECOND a2- G2 G1 2
FIRST a2+ R2 B1 7
SECOND b1- G4 G2 2
FIRST a3- B2 G3 7
SECOND b1+ G1 G3 2
FIRST b2- B1 B1 7
SECOND c1- G2 R4 2
FIRST e2+ G3 R4 7
SECOND c1+ G3 Y4 2
FIRST b2+ B1 R3 7
SECOND e3+ Y4 Y1 2
FIRST c2- Y1 B4 7
SECOND d2- Y1 G4 2
FIRST b3- Y1 G2 8
SECOND f2- G4 B4 2
FIRST e2- R3 G2 8
SECOND a3+ B4 Y3 2
FIRST f2+ B4 R2 7
SECOND c2+ Y3 B1 1
FIRST f3- R4 Y4 7
SECOND e1+ R4 Y2 1
FIRST f1+ Y4 R1 7
SECOND c3- Y2 R3 1
FIRST f1- Y4 Y2 7
SECOND e1- R3 B4 1
FIRST b3+ R1 G3 7
SECOND d1+ R4 R3 1
FIRST f4+ Y2 G4 7
SECOND b4- R3 B3 1
FIRST e4- G4 R4 7
SECOND d4+ B1 R1 1
FIRST e4+ R4 R1 7
SECOND b4+ R1 Y2 1
FIRST f4- G2 G4 7
SECOND d5- B2 G3 1
FIRST e5- G4 B2 6
SECOND d5+ B1 R2 1
FIRST c5+ G2 R3 6
SECOND b5- R2 R2 1
FIRST c5- R2 G1 6
SECOND b5+ R2 G1 1
FIRST a5+ B2 B4 6
SECOND d6- B4 B3 1
FIRST e5+ B4 B3 5
SECOND d6+ B3 B2 1
FIRST e6- G3 B3 5
SECOND f5- B3 Y1 0
FIRST e6+ B3 Y2 5
SECOND f5+ B2 R1 0
FIRST a5- Y2 X0 6
SECOND c4+ R1 X0 1
FIRST c4- G1 X0 4
SECOND a4+ Y1 X0 0
FIRST f6- R3 X0 3
SECOND c6- G3 X0 0
FIRST b6+ B3 X0 3
SECOND b6- G1 X0 0
FIRST a6+ R1 X0 2
SECOND a6- Y2 X0 0
FINISH
SCOREFIRST 310
SCORESECOND 258
