[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT Y1 B3 B2 G1 G1 G1 B1 Y1 Y4 Y2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G1 R3 1720
SECOND d3+ G1 R3 3
FIRST e2+ Y1 B3 8
SECOND e2- Y4 B4 3
FIRST e3+ G1 B4 9
SECOND d2+ Y1 R2 2
FIRST e1+ B4 G4 9
SECOND d2- Y2 Y2 2
FIRST e1- G4 Y2 8
SECOND d3- Y2 B4 3
FIRST c2+ B2 Y4 8
SECOND c2- B1 R1 2
FIRST f1- Y4 G2 7
SECOND b2+ B4 G2 2
FIRST d1+ G2 R4 8
SECOND c3- B4 R2 2
FIRST f1+ R4 B1 8
SECOND e4- G2 G3 2
FIRST f2- B1 B4 8
SECOND d4+ G3 G3 2
FIRST d5- B3 Y4 8
SECOND e4+ G3 Y1 1
FIRST c5+ R3 R1 8
SECOND c5- R2 R1 1
FIRST f2+ R1 Y1 7
SECOND c4+ R3 G4 1
FIRST f3- Y1 R4 7
SECOND e5- G4 Y3 1
FIRST b3+ R4 G3 7
SECOND c4- R1 R4 1
FIRST b3- Y4 G2 7
SECOND b4+ R2 G2 1
FIRST a3+ B4 R3 8
SECOND b4- R1 B3 1
FIRST c6- G3 B2 11
SECOND d5+ G2 R3 1
FIRST b6+ B3 Y3 9
SECOND b5- R4 B2 1
FIRST b6- R3 B1 13
SECOND b5+ R3 Y3 1
FIRST a6+ Y3 Y2 9
SECOND b2- B3 B3 1
FIRST d6- Y2 R2 8
SECOND a2+ B2 G4 1
FIRST a3- Y2 R1 8
SECOND f4- G4 B2 1
FIRST a2- G2 G3 7
SECOND b1+ B2 R4 1
FIRST a6- G3 G4 7
SECOND a4+ R4 G1 1
FIRST d6+ R2 R2 6
SECOND e5+ G1 B1 1
FIRST f5- R1 Y3 7
SECOND c1- B3 Y4 1
FIRST a5+ Y3 X0 8
SECOND c1+ B1 X0 0
FIRST a5- G4 X0 5
SECOND a1+ Y1 X0 0
FIRST b1- R2 X0 4
SECOND e6- Y3 X0 0
FIRST f5+ B1 X0 3
SECOND e6+ Y4 X0 0
FIRST f6- B2 X0 4
SECOND f4+ Y3 X0 0
FINISH
SCOREFIRST 266
SCORESECOND 362
