[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT G1 B1 G1 G2 R3 R2 Y1 B1 Y1 B4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G2 Y3 1703
SECOND d2- R2 R1 3
FIRST f2+ G1 Y1 7
SECOND c2+ R1 B2 2
FIRST c3- B1 G2 7
SECOND b3+ B4 R4 3
FIRST f2- Y1 B2 7
SECOND b3- B1 Y2 2
FIRST a3+ G1 G4 7
SECOND b4- B2 R2 2
FIRST d3+ B2 B2 7
SECOND c2- R4 G3 2
FIRST d2+ G2 R4 7
SECOND b2+ R2 R3 2
FIRST d3- B2 Y4 7
SECOND b2- R3 G2 2
FIRST a2+ Y3 R1 7
SECOND a3- Y2 B3 2
FIRST a2- R3 G3 8
SECOND b4+ B3 Y4 2
FIRST b5- G3 Y2 7
SECOND b5+ G2 B2 2
FIRST d1+ Y2 R2 7
SECOND c4- B2 B3 1
FIRST e1- R2 B3 7
SECOND c4+ B3 G2 2
FIRST c1+ Y4 G3 8
SECOND a5+ G2 R1 1
FIRST f3- R1 B4 7
SECOND b1+ R1 Y3 1
FIRST a1+ B3 R4 7
SECOND b6- G3 G4 1
FIRST b1- G3 R3 7
SECOND a5- G4 Y4 1
FIRST c1- G4 Y1 8
SECOND e2+ Y4 G1 1
FIRST b6+ R3 R2 7
SECOND c5- G1 B1 1
FIRST e2- R2 Y2 7
SECOND a4+ B1 B4 1
FIRST e1+ Y2 B3 6
SECOND f1+ Y3 R3 1
FIRST f1- B3 G4 6
SECOND e3+ R3 G1 1
FIRST c5+ Y1 R1 6
SECOND a6- G1 G4 1
FIRST c6- R1 Y4 6
SECOND a6+ G4 Y3 1
FIRST e6+ B4 B1 6
SECOND d5- Y4 Y2 1
FIRST f6- R4 B4 6
SECOND d4+ Y1 G3 1
FIRST e6- G4 Y3 5
SECOND d5+ Y1 R4 1
FIRST e5+ R4 X0 5
SECOND e4- Y2 X0 0
FIRST d6+ B4 X0 4
SECOND e4+ Y3 X0 0
FIRST f5- Y4 X0 3
SECOND e5- R4 X0 0
FIRST d6- B1 X0 3
SECOND f4- B4 X0 0
FIRST f4+ Y3 X0 3
SECOND f5+ G3 X0 0
FINISH
SCOREFIRST 228
SCORESECOND 256
