[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B3 G2 R1 B2 B4 G3 R1 Y2 B3 Y3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B2 R1 1749
SECOND d3+ B3 Y2 3
FIRST d3- B3 R4 8
SECOND d2- G3 R1 3
FIRST e2+ G2 G3 8
SECOND b3- R1 B1 3
FIRST d2+ G3 Y1 8
SECOND e3+ B1 G1 3
FIRST b3+ Y1 Y4 7
SECOND e2- G1 Y1 3
FIRST a3+ R1 Y3 7
SECOND b2+ R1 G2 3
FIRST d1+ Y3 R2 8
SECOND c2+ G2 G4 2
FIRST b4- R1 R3 7
SECOND c2- G4 G4 2
FIRST e1- R3 Y3 8
SECOND c3- G4 B3 2
FIRST e1+ Y3 B1 9
SECOND e4- B3 R3 2
FIRST a3- B1 G3 9
SECOND b2- R3 B2 5
FIRST f1- G3 R4 10
SECOND d4+ B2 R4 2
FIRST c1+ Y4 B4 9
SECOND a2+ R4 G1 2
FIRST c1- R4 Y1 9
SECOND f2- G1 Y1 2
FIRST a4+ Y1 Y2 8
SECOND a5- Y2 Y4 1
FIRST a5+ R2 B2 8
SECOND a2- Y3 R2 1
FIRST b5- B2 G2 8
SECOND b1+ R2 G2 1
FIRST a6- G2 R2 7
SECOND f1+ G2 B4 1
FIRST a6+ Y2 R3 7
SECOND d5- B4 B4 1
FIRST b5+ R2 Y2 8
SECOND e4+ B4 R3 1
FIRST b6- Y2 Y4 7
SECOND b1- R3 R4 1
FIRST c5+ R4 G1 7
SECOND a1+ R4 G3 1
FIRST b4+ G1 B3 6
SECOND f2+ G3 B1 1
FIRST c6- B4 G1 6
SECOND d5+ B1 R2 1
FIRST c4- G1 G4 5
SECOND c5- R2 Y4 1
FIRST b6+ B4 G4 5
SECOND d6- Y2 B2 1
FIRST f4- Y4 B1 5
SECOND e5- B2 Y3 0
FIRST c4+ B1 X0 4
SECOND d6+ Y1 X0 0
FIRST f4+ G4 X0 4
SECOND e6- Y4 X0 0
FIRST f5- G4 X0 3
SECOND e5+ Y1 X0 0
FIRST f3- R3 X0 3
SECOND e6+ Y3 X0 0
FIRST f6- B3 X0 2
SECOND f5+ Y4 X0 0
FINISH
SCOREFIRST 310
SCORESECOND 372
