[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT G3 B4 B2 R4 Y2 G2 Y1 R2 G3 R2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R4 G3 1689
SECOND d3+ R2 R3 2
FIRST d3- B2 G1 7
SECOND e3+ R2 B3 2
FIRST f3- Y2 Y4 6
SECOND e4- R3 Y4 2
FIRST e4+ G3 R1 7
SECOND d2+ B3 B2 2
FIRST e2+ B4 R3 8
SECOND e2- B2 Y2 3
FIRST d4+ G3 R4 9
SECOND d5- G2 G2 2
FIRST f2- Y4 R2 8
SECOND f2+ Y1 B3 2
FIRST f1+ R4 Y4 7
SECOND e1+ B3 R4 2
FIRST f1- Y4 Y1 7
SECOND c5+ G3 Y2 2
FIRST c6- R3 Y3 7
SECOND c5- G2 R1 2
FIRST e1- Y3 R2 7
SECOND d1+ Y4 B1 2
FIRST b5+ R2 G4 8
SECOND d2- B1 B2 1
FIRST c2+ Y1 B3 7
SECOND b5- R4 B4 1
FIRST f4- B3 B3 7
SECOND b4+ R1 B1 2
FIRST c3- R1 R1 7
SECOND c2- Y2 G4 1
FIRST b3+ R1 G4 7
SECOND c4+ G4 Y3 1
FIRST b4- G1 B1 9
SECOND b2+ Y3 G1 1
FIRST a4+ B1 Y2 7
SECOND d5+ G1 Y1 1
FIRST e5- B3 G2 7
SECOND b3- Y2 R3 1
FIRST a3+ R2 Y1 7
SECOND b2- Y1 G3 1
FIRST a5- Y1 B2 6
SECOND c4- G3 Y3 1
FIRST a3- Y2 B4 6
SECOND a2+ Y3 G4 1
FIRST c1+ G2 Y3 6
SECOND d6- G4 Y4 1
FIRST e5+ Y3 R3 5
SECOND b1+ Y4 G1 1
FIRST e6- R3 G1 5
SECOND d6+ G1 R4 1
FIRST a5+ G1 B1 5
SECOND b6- R3 R1 0
FIRST a6- B1 G2 5
SECOND b6+ R4 B4 0
FIRST c1- G4 X0 5
SECOND a6+ R1 X0 0
FIRST b1- B4 X0 4
SECOND f4+ B2 X0 0
FIRST f5- G2 X0 3
SECOND a1+ B1 X0 0
FIRST f5+ B2 X0 2
SECOND a2- B4 X0 0
FIRST f6- G4 X0 2
SECOND e6+ B4 X0 0
FINISH
SCOREFIRST 268
SCORESECOND 296
