[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT Y1 B2 G3 Y4 R3 Y4 G3 Y2 G2 R3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y4 Y4 1665
SECOND d3+ Y2 B2 4
FIRST d3- B2 Y2 8
SECOND e3+ Y4 R2 3
FIRST d2+ Y2 G4 8
SECOND b3- G3 R2 3
FIRST a3+ G3 B1 8
SECOND b3+ G2 G4 3
FIRST a3- R3 B3 9
SECOND b4- G4 R3 2
FIRST a2+ B3 Y3 8
SECOND b2- B2 Y3 2
FIRST a2- Y3 B4 8
SECOND e4- Y3 B3 2
FIRST b4+ Y4 R2 7
SECOND b1+ B3 R1 2
FIRST b5- B4 G2 8
SECOND a4+ R3 Y1 2
FIRST e2- R2 B3 7
SECOND d4+ Y1 G2 2
FIRST a5+ G4 R2 8
SECOND c3- G2 Y3 2
FIRST a1+ B3 Y1 9
SECOND d5- Y3 B4 2
FIRST e2+ G2 G3 8
SECOND b1- B4 G1 2
FIRST e1+ R2 R1 7
SECOND c2+ G1 B3 1
FIRST e4+ G3 Y2 7
SECOND c1- B3 R4 2
FIRST e1- Y2 B1 7
SECOND f1- R3 Y4 1
FIRST c2- Y1 R4 7
SECOND c5+ Y4 B2 1
FIRST a6- R4 G1 7
SECOND c1+ B2 G3 1
FIRST b2+ Y1 B2 6
SECOND d2- G3 B4 1
FIRST d1+ B2 B4 7
SECOND f1+ R2 B1 1
FIRST c4- B4 G2 6
SECOND f2- R1 Y2 1
FIRST f2+ B1 R4 6
SECOND d5+ Y2 R1 1
FIRST b5+ R4 R1 6
SECOND a5- R2 B1 1
FIRST e5- G2 G4 7
SECOND c4+ B1 Y1 1
FIRST c5- G4 Y3 5
SECOND d6- Y1 G1 1
FIRST d6+ G1 R3 5
SECOND e5+ G1 G4 0
FIRST e6- R1 G1 5
SECOND f4- G4 R4 0
FIRST e6+ B1 X0 4
SECOND b6- R1 X0 0
FIRST f5- R1 X0 4
SECOND a6+ R4 X0 0
FIRST f6- G1 X0 3
SECOND b6+ R4 X0 0
FIRST f4+ Y3 X0 3
SECOND f3- B4 X0 0
FIRST f5+ R3 X0 2
SECOND c6- B1 X0 0
FINISH
SCOREFIRST 304
SCORESECOND 282
