[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT R1 Y1 G2 R3 G4 G2 G1 R3 Y4 G3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R3 G4 1858
SECOND d3+ R3 Y1 4
FIRST a3+ Y1 R2 8
SECOND b3- Y4 R4 2
FIRST b3+ G4 R3 7
SECOND d3- R4 Y4 2
FIRST d2+ G4 Y3 9
SECOND b2+ Y1 G1 3
FIRST b2- R1 B3 8
SECOND c2- Y4 B1 2
FIRST e2+ Y3 B3 7
SECOND b4- G2 G4 2
FIRST b4+ R2 B4 7
SECOND a4+ G1 B4 2
FIRST f2- R3 G2 7
SECOND c3- G3 G4 2
FIRST f2+ B3 R1 8
SECOND c2+ G1 R1 2
FIRST e2- B3 B4 9
SECOND d2- G4 G2 2
FIRST d1+ B4 Y2 9
SECOND a5- G4 R2 2
FIRST b5- Y2 R4 8
SECOND a5+ G2 Y2 2
FIRST e1- R4 R2 8
SECOND a3- Y2 Y3 2
FIRST b5+ G2 G1 7
SECOND a2+ Y3 B1 2
FIRST b6- G2 B1 9
SECOND e3+ R1 B3 1
FIRST c4- R2 Y3 8
SECOND e4- R2 R3 1
FIRST e1+ Y3 Y4 8
SECOND d4+ R3 R4 1
FIRST b1+ G1 G3 8
SECOND d5- R4 Y2 1
FIRST f1- G3 Y2 7
SECOND c1+ Y2 B4 1
FIRST a6- Y2 Y1 7
SECOND f3- B4 R2 1
FIRST b1- B1 B2 6
SECOND c5+ R2 B2 1
FIRST c5- B2 G3 6
SECOND c4+ B1 Y1 1
FIRST f1+ G3 R4 6
SECOND a2- Y1 G3 1
FIRST a1+ R1 G1 6
SECOND b6+ G3 R1 1
FIRST c1- G1 B1 6
SECOND d5+ R1 Y3 1
FIRST d6- Y1 Y4 5
SECOND d6+ Y3 B3 0
FIRST e5- B1 B2 5
SECOND e4+ B3 B2 0
FIRST a6+ B2 X0 4
SECOND e5+ B4 X0 0
FIRST e6- Y4 X0 4
SECOND f4- B1 X0 0
FIRST e6+ R4 X0 5
SECOND f4+ B2 X0 0
FIRST f6- Y4 X0 3
SECOND f5- B3 X0 0
FIRST f5+ B4 X0 3
SECOND c6- B2 X0 0
FINISH
SCOREFIRST 358
SCORESECOND 328
