[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT G4 R3 R2 G1 B3 G2 G4 R3 Y2 Y1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G1 Y2 1885
SECOND d3+ G2 G1 3
FIRST d3- R2 B2 11
SECOND e3+ G4 B3 4
FIRST d2+ Y2 B4 7
SECOND e4- G1 R3 2
FIRST e2- B2 R1 7
SECOND d2- Y1 R2 2
FIRST d1+ R1 G2 7
SECOND c2+ Y2 R4 2
FIRST e1+ G2 B4 8
SECOND e2+ B3 B1 2
FIRST f2- R3 G3 10
SECOND e1- R3 G2 2
FIRST f3- B4 B1 8
SECOND d4+ G2 G1 2
FIRST f2+ B4 Y1 8
SECOND d5- G1 Y4 2
FIRST e4+ B1 Y2 8
SECOND c2- Y4 G3 2
FIRST f1- Y2 R2 9
SECOND c5+ G3 R1 2
FIRST f1+ R2 Y1 9
SECOND e5- B1 B2 2
FIRST d5+ Y1 R4 8
SECOND e5+ B2 B1 2
FIRST f4- Y1 B1 9
SECOND e6- B1 G4 2
FIRST d6- B1 B3 8
SECOND c5- G4 Y3 1
FIRST b2+ G4 G1 9
SECOND c3- Y3 Y1 1
FIRST d6+ G1 R4 9
SECOND b3+ Y1 Y3 2
FIRST c6- B3 B2 8
SECOND b3- Y3 B3 1
FIRST a3+ G3 Y4 8
SECOND f5- B3 B2 1
FIRST b2- R4 G2 7
SECOND f4+ B2 B4 1
FIRST c1+ R4 Y3 7
SECOND e6+ B4 G3 1
FIRST a2+ Y4 G3 8
SECOND c4+ G3 R4 1
FIRST a3- Y3 Y4 7
SECOND b1+ R3 B4 1
FIRST c1- Y4 G4 8
SECOND f5+ B4 R1 1
FIRST a2- G4 R3 6
SECOND b1- R2 Y2 1
FIRST a1+ B2 R1 6
SECOND b4- Y2 R2 1
FIRST b4+ G2 Y3 6
SECOND a4+ R4 Y4 1
FIRST b6+ G3 X0 5
SECOND a5- R1 X0 0
FIRST b6- B3 X0 4
SECOND a5+ R4 X0 0
FIRST a6+ R3 X0 3
SECOND a6- R1 X0 0
FIRST b5+ Y3 X0 3
SECOND b5- R2 X0 0
FIRST f6- R1 X0 3
SECOND c4- Y4 X0 0
FINISH
SCOREFIRST 274
SCORESECOND 294
