[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT G2 R4 G4 Y4 Y1 Y2 B3 B2 Y3 R4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y4 Y3 1710
SECOND d3+ Y2 B1 3
FIRST e3+ G4 B1 7
SECOND d3- Y3 Y3 3
FIRST e4- R4 R3 8
SECOND e2+ Y3 B4 3
FIRST d2+ R3 B4 8
SECOND d2- R4 G2 3
FIRST e2- Y3 B3 8
SECOND f3- G2 R2 3
FIRST e4+ B4 Y3 7
SECOND c2+ R2 G4 3
FIRST e1+ B3 B2 8
SECOND f2+ G4 G1 2
FIRST e1- Y3 R1 7
SECOND f2- G1 R4 2
FIRST f1+ B1 G4 8
SECOND c2- R4 R2 2
FIRST f4- G4 Y2 9
SECOND b2+ R2 Y4 2
FIRST b2- G2 G1 7
SECOND f1- B2 Y2 2
FIRST c3- B2 B4 8
SECOND b3+ B3 B3 1
FIRST d4+ B4 B1 8
SECOND b3- B1 G3 1
FIRST a3+ R1 R1 7
SECOND b4- B4 B1 1
FIRST a3- Y1 R3 7
SECOND b4+ B3 G3 1
FIRST a2+ Y2 G1 7
SECOND c4- B1 B2 1
FIRST c4+ G1 Y2 7
SECOND b5- B2 R1 1
FIRST c5- R1 R4 7
SECOND d1+ R1 Y1 1
FIRST d5- R4 G2 7
SECOND a2- Y4 G2 1
FIRST b5+ G1 Y4 9
SECOND a1+ Y2 R1 1
FIRST c5+ Y4 R2 6
SECOND c1+ R1 G4 1
FIRST b6- B1 Y1 6
SECOND b1- Y1 G1 1
FIRST a6+ Y1 G3 6
SECOND b1+ G3 R3 1
FIRST c1- G3 R2 6
SECOND d5+ R3 Y1 1
FIRST a5+ Y2 B2 6
SECOND a6- Y1 R3 0
FIRST a5- R2 B3 5
SECOND e5- R3 B4 0
FIRST d6- B3 G3 5
SECOND a4+ B4 Y4 0
FIRST d6+ R3 X0 4
SECOND f4+ G3 X0 0
FIRST e6- G3 X0 4
SECOND f5- G2 X0 0
FIRST f5+ R2 X0 3
SECOND e5+ G4 X0 0
FIRST f6- B2 X0 3
SECOND e6+ G1 X0 0
FIRST c6- G2 X0 2
SECOND b6+ Y4 X0 0
FINISH
SCOREFIRST 244
SCORESECOND 268
