[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT R4 G4 G2 Y3 R4 Y2 B4 R1 R4 G1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y3 R2 1734
SECOND d3+ Y2 B4 2
FIRST d3- R2 Y1 6
SECOND d2+ R1 Y1 2
FIRST e2- Y1 B4 6
SECOND e2+ Y1 Y4 2
FIRST f2+ G2 B1 7
SECOND e3+ Y4 R1 2
FIRST e4- G4 Y1 7
SECOND d2- R4 Y4 3
FIRST f3- B4 Y3 7
SECOND e1+ Y4 G2 2
FIRST d4+ R4 Y2 8
SECOND c2+ R1 B1 2
FIRST e4+ R4 R3 7
SECOND f2- G2 B2 2
FIRST f1+ Y2 G3 8
SECOND b2- B4 R2 2
FIRST c3- Y1 R1 8
SECOND c2- R2 B3 2
FIRST b3+ R1 Y4 7
SECOND a2+ B1 R2 2
FIRST b3- B1 B1 7
SECOND b2+ B3 R4 2
FIRST e5- Y4 R2 8
SECOND c1+ R4 B3 2
FIRST b4- B1 R3 7
SECOND c1- R2 G3 2
FIRST f1- R2 Y4 7
SECOND a3- B4 R3 1
FIRST d5- Y4 B2 7
SECOND a3+ B2 G3 1
FIRST a1+ Y3 B2 7
SECOND b1+ R3 B1 1
FIRST b1- G3 B3 7
SECOND a2- B1 G4 1
FIRST b6+ R3 G4 7
SECOND b4+ B3 G1 1
FIRST d5+ G4 Y2 7
SECOND d6- G1 B2 1
FIRST c6- R3 G2 6
SECOND a4+ B2 G2 2
FIRST b6- B3 G1 6
SECOND d6+ G3 Y3 1
FIRST a5- Y2 G1 7
SECOND e1- Y3 Y2 1
FIRST a5+ B2 R1 6
SECOND d1+ Y2 G4 1
FIRST a6- B2 B3 5
SECOND e6- G4 R3 1
FIRST a6+ G2 B4 5
SECOND e5+ G3 Y3 0
FIRST c5+ B4 G3 5
SECOND f5- G1 Y1 0
FIRST b5- G3 X0 5
SECOND f4+ G2 X0 0
FIRST b5+ B3 X0 4
SECOND f5+ G4 X0 0
FIRST c4- R1 X0 3
SECOND c4+ R3 X0 0
FIRST c5- G1 X0 3
SECOND f4- Y3 X0 0
FIRST f6- G1 X0 3
SECOND e6+ Y1 X0 0
FINISH
SCOREFIRST 236
SCORESECOND 306
