[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT R3 R1 Y3 B3 G1 G4 B1 R4 G3 Y4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B3 B2 1706
SECOND d3+ B1 B3 3
FIRST e2+ R3 G1 7
SECOND d3- B3 B3 3
FIRST f2- Y3 G4 7
SECOND d2+ B3 G1 3
FIRST f2+ B2 Y2 8
SECOND e2- R4 G2 3
FIRST f3- Y2 G3 8
SECOND e3+ Y4 G3 3
FIRST e4- G4 Y3 8
SECOND d4+ G3 Y2 3
FIRST f1+ G3 G2 8
SECOND d5- G4 Y1 2
FIRST f1- Y3 Y1 9
SECOND d5+ G1 B4 2
FIRST d6- Y1 B2 7
SECOND c5+ G2 G1 2
FIRST d6+ R1 Y2 7
SECOND c5- G3 G4 1
FIRST e6- G1 G2 7
SECOND c4+ G1 B2 2
FIRST e5+ G1 R1 7
SECOND e5- G4 Y4 1
FIRST e6+ R1 G4 7
SECOND d2- B4 Y1 1
FIRST c6- B2 Y4 7
SECOND c2+ B2 Y3 1
FIRST e4+ Y4 B4 7
SECOND e1+ Y2 R3 1
FIRST f4- G4 B4 7
SECOND e1- Y1 R2 2
FIRST f4+ B4 Y4 8
SECOND d1+ Y3 Y3 1
FIRST f5- Y4 R2 8
SECOND f5+ Y1 R1 1
FIRST c3- Y2 B1 7
SECOND f6- Y4 R1 1
FIRST b3+ G2 R2 6
SECOND a2+ R3 B2 1
FIRST c2- R2 R3 6
SECOND a3- R2 G2 1
FIRST b2+ G2 Y1 6
SECOND c4- G2 Y2 1
FIRST b3- R2 B1 6
SECOND a3+ R1 R2 1
FIRST b5+ R3 B3 7
SECOND b2- R1 R4 1
FIRST b5- B3 R4 7
SECOND b1+ R2 B1 1
FIRST c1+ Y1 R4 6
SECOND c1- R4 B4 1
FIRST a5- B1 G3 6
SECOND a5+ B2 R3 1
FIRST a2- G3 X0 5
SECOND b1- R3 X0 0
FIRST a4+ B1 X0 4
SECOND b4- B4 X0 0
FIRST b4+ R4 X0 3
SECOND a6- B1 X0 0
FIRST b6- B4 X0 3
SECOND b6+ Y3 X0 0
FIRST a6+ R4 X0 2
SECOND a1+ Y2 X0 0
FINISH
SCOREFIRST 206
SCORESECOND 312
